construction,N,edges,avg_degree,n_components,lambda1_raw,lambda1_per_deg,lambda1_x_N23,dim_d,dim_residual,null_lambda1_mean,null_lambda1_std,null_d_mean,null_d_std,z_lambda1
face,12,11,1.8333333333333333,1,0.999999999999999,0.545454545454545,5.2414827884177875,nan,nan,0.5026994735888138,0.37603252399873405,0.8362383223928769,0.026940753833402577,1.3224933873314024
face,60,59,1.9666666666666666,1,0.04772751981656384,0.024268230415201954,0.7314809724036618,2.549998430732061,0.1233174374943621,0.03293444226032074,0.01848840901342514,0.9373151333238108,0.016379257687814845,0.8001271253086816
face,120,119,1.9833333333333334,1,0.04772751981656382,0.024064295705830498,1.1611536650882937,2.6560449832574267,0.0855442568195154,0.004787804397290754,0.002954184535286222,0.9749249439516612,0.007005473462550084,14.535217719761555
axis,12,11,1.8333333333333333,1,0.25834261322605795,0.1409141526687589,1.3540983607392576,nan,nan,0.5026994735888138,0.37603252399873405,0.8362383223928769,0.026940753833402577,-0.6498290567092775
axis,60,59,1.9666666666666666,1,0.04644584894156613,0.02361653336011837,0.7118378427889649,2.2031782984403856,0.09569940597652159,0.03293444226032074,0.018488409013425137,0.9373151333238108,0.016379257687814845,0.7308041849735929
axis,120,119,1.9833333333333334,1,0.026556566764380205,0.013389865595485818,0.646089613479566,2.286990845789761,0.10125626409583438,0.004787804397290757,0.002954184535286223,0.9749249439516612,0.007005473462550084,7.368788949946738
vertex,12,11,1.8333333333333333,1,0.999999999999999,0.545454545454545,5.2414827884177875,nan,nan,0.5026994735888138,0.37603252399873405,0.8362383223928769,0.026940753833402577,1.3224933873314024
vertex,60,109,3.6333333333333333,1,0.7327250589654924,0.20166744742169518,11.229882480727584,1.9392398630158951,0.10519833632259447,0.7000935634225628,0.09041342448228233,1.8663708234397625,0.021452502000099117,0.36091427494777945
vertex,120,257,4.283333333333333,1,0.7776260392973081,0.18154693524450774,18.918714592095704,2.1822607121382696,0.20958403918717203,0.6159562911327072,0.03922210574082679,2.4485500497576727,0.08009184325133879,4.121903837309655
600cell,120,720,12.0,1,2.2917960675006293,0.19098300562505244,55.756666460798385,1.4175969635672454,0.0424077947179757,5.90320851626383,0.15851089868539106,nan,nan,-22.783369968195494
