a,b,c,d,n,b_sqrt_c,F,rel_dev_target,rel_dev_codata,within_50ppb,distinct_value_id
5,1,29,6,125,5.385164807,137.035994295,4.163e-08,3.494e-08,1,1
5,2,27,1,66,10.392304845,137.036005772,4.212e-08,4.881e-08,1,2
5,3,12,1,66,10.392304845,137.036005772,4.212e-08,4.881e-08,1,2
5,6,3,1,66,10.392304845,137.036005772,4.212e-08,4.881e-08,1,2
5,1,2,10,27,1.414213562,137.035982577,1.271e-07,1.205e-07,0,3
5,1,29,6,124,5.385164807,137.036058812,4.292e-07,4.359e-07,0,4
5,1,30,6,10,5.477225575,137.035933528,4.851e-07,4.784e-07,0,5
5,1,29,6,126,5.385164807,137.035930803,5.050e-07,4.983e-07,0,6
5,1,29,6,123,5.385164807,137.036124377,9.076e-07,9.143e-07,0,7
5,1,29,6,127,5.385164807,137.035868311,9.610e-07,9.543e-07,0,8
5,1,29,6,122,5.385164807,137.036191017,1.394e-06,1.401e-06,0,9
5,1,29,6,128,5.385164807,137.035806795,1.410e-06,1.403e-06,0,10
5,2,27,1,67,10.392304845,137.035779630,1.608e-06,1.601e-06,0,11
5,3,12,1,67,10.392304845,137.035779630,1.608e-06,1.601e-06,0,11
5,6,3,1,67,10.392304845,137.035779630,1.608e-06,1.601e-06,0,11
5,2,27,1,65,10.392304845,137.036238873,1.743e-06,1.750e-06,0,12
5,3,12,1,65,10.392304845,137.036238873,1.743e-06,1.750e-06,0,12
5,6,3,1,65,10.392304845,137.036238873,1.743e-06,1.750e-06,0,12
5,1,29,6,129,5.385164807,137.035746233,1.852e-06,1.845e-06,0,13
5,1,29,6,121,5.385164807,137.036258758,1.888e-06,1.895e-06,0,14
5,1,29,6,130,5.385164807,137.035686603,2.287e-06,2.280e-06,0,15
5,1,29,6,120,5.385164807,137.036327629,2.391e-06,2.398e-06,0,16
5,1,29,6,131,5.385164807,137.035627883,2.715e-06,2.709e-06,0,17
5,1,29,6,119,5.385164807,137.036397657,2.902e-06,2.909e-06,0,18
5,1,29,6,132,5.385164807,137.035570053,3.137e-06,3.131e-06,0,19
5,2,27,1,68,10.392304845,137.035560140,3.210e-06,3.203e-06,0,20
5,3,12,1,68,10.392304845,137.035560140,3.210e-06,3.203e-06,0,20
5,6,3,1,68,10.392304845,137.035560140,3.210e-06,3.203e-06,0,20
5,1,29,6,118,5.385164807,137.036468872,3.422e-06,3.428e-06,0,21
5,2,27,1,64,10.392304845,137.036479257,3.497e-06,3.504e-06,0,22
5,3,12,1,64,10.392304845,137.036479257,3.497e-06,3.504e-06,0,22
5,6,3,1,64,10.392304845,137.036479257,3.497e-06,3.504e-06,0,22
5,1,29,6,133,5.385164807,137.035513092,3.553e-06,3.546e-06,0,23
5,1,29,6,117,5.385164807,137.036541304,3.950e-06,3.957e-06,0,24
5,1,29,6,134,5.385164807,137.035456982,3.963e-06,3.956e-06,0,25
5,1,29,6,135,5.385164807,137.035401703,4.366e-06,4.359e-06,0,26
5,1,29,6,116,5.385164807,137.036614985,4.488e-06,4.494e-06,0,27
5,1,29,6,136,5.385164807,137.035347237,4.763e-06,4.757e-06,0,28
5,2,27,1,69,10.392304845,137.035347011,4.765e-06,4.758e-06,0,29
5,3,12,1,69,10.392304845,137.035347011,4.765e-06,4.758e-06,0,29
5,6,3,1,69,10.392304845,137.035347011,4.765e-06,4.758e-06,0,29
5,1,29,6,115,5.385164807,137.036689948,5.035e-06,5.041e-06,0,30
5,1,29,6,137,5.385164807,137.035293566,5.155e-06,5.148e-06,0,31
5,2,27,1,63,10.392304845,137.036727273,5.307e-06,5.314e-06,0,32
5,3,12,1,63,10.392304845,137.036727273,5.307e-06,5.314e-06,0,32
5,6,3,1,63,10.392304845,137.036727273,5.307e-06,5.314e-06,0,32
5,1,29,6,138,5.385164807,137.035240672,5.541e-06,5.534e-06,0,33
5,1,29,6,114,5.385164807,137.036766225,5.591e-06,5.598e-06,0,34
5,1,29,6,139,5.385164807,137.035188540,5.922e-06,5.915e-06,0,35
5,1,29,6,113,5.385164807,137.036843853,6.158e-06,6.165e-06,0,36
5,2,27,1,70,10.392304845,137.035139971,6.276e-06,6.269e-06,0,37
5,3,12,1,70,10.392304845,137.035139971,6.276e-06,6.269e-06,0,37
5,6,3,1,70,10.392304845,137.035139971,6.276e-06,6.269e-06,0,37
5,1,29,6,140,5.385164807,137.035137153,6.297e-06,6.290e-06,0,38
5,1,6,9,14,2.449489743,137.035097931,6.583e-06,6.576e-06,0,39
5,1,29,6,141,5.385164807,137.035086494,6.666e-06,6.659e-06,0,40
