x,n_splitters,n_stubborns,E,E_normalised
100,10,14,4,1.842068
107,11,16,5,2.258697
115,12,17,5,2.212336
123,12,17,5,2.169500
132,13,18,5,2.124967
141,14,19,5,2.083804
152,16,19,3,1.222472
163,16,21,5,1.994867
174,16,23,7,2.737749
187,18,23,5,1.912683
200,20,25,5,1.873238
215,21,25,4,1.465098
230,22,27,5,1.792882
247,24,28,4,1.402216
264,25,30,5,1.715880
283,28,32,4,1.342348
304,28,33,5,1.639470
326,29,36,7,2.243546
349,31,38,7,2.193904
374,32,41,9,2.757024
401,35,43,8,2.394593
430,38,43,5,1.462108
461,42,46,4,1.142643
494,44,49,5,1.395326
529,47,51,4,1.090607
567,48,54,6,1.597620
608,52,58,6,1.559802
652,55,62,7,1.776447
699,58,66,8,1.981844
749,62,69,7,1.692904
803,65,73,8,1.888215
860,71,77,6,1.382457
922,74,82,8,1.798562
988,77,88,11,2.413190
1060,85,91,6,1.283758
1136,90,98,8,1.669866
1217,94,104,10,2.036416
1305,102,110,8,1.588706
1399,107,114,7,1.355621
1499,116,122,6,1.133234
1607,123,129,6,1.104904
1723,130,138,8,1.436183
1846,136,145,9,1.575395
1979,145,153,8,1.364988
2121,154,164,10,1.663176
2274,163,174,11,1.782943
2437,174,186,12,1.895684
2613,184,194,10,1.539248
2801,198,209,11,1.649805
3002,208,222,14,2.045947
3218,222,232,10,1.423741
3449,238,243,5,0.693520
3697,253,262,9,1.216018
3963,268,279,11,1.447639
4248,287,294,7,0.897245
4553,301,315,14,1.747728
4880,319,333,14,1.702057
5231,341,353,12,1.420634
5607,361,376,15,1.729123
6010,384,399,15,1.683574
6442,408,427,19,2.076215
6906,438,448,10,1.063766
7402,463,475,12,1.242683
7934,491,510,19,1.915275
8504,521,538,17,1.668030
9116,557,572,15,1.432447
9771,596,608,12,1.115305
10474,635,645,10,0.904477
11227,672,684,12,1.056205
12034,712,727,15,1.284712
12899,760,774,14,1.166719
13826,807,825,18,1.459531
14820,855,879,24,1.893334
15886,914,935,21,1.611691
17028,968,994,26,1.941185
18252,1037,1053,16,1.162047
19564,1102,1116,14,0.989053
20970,1170,1187,17,1.168180
22478,1245,1267,22,1.470362
24094,1333,1346,13,0.845022
25826,1411,1430,19,1.201107
27683,1500,1517,17,1.045099
29673,1599,1620,21,1.255426
31806,1697,1721,24,1.395170
34093,1809,1834,25,1.413112
36544,1922,1951,29,1.593818
39171,2041,2082,41,2.190838
41987,2181,2209,28,1.454625
45006,2322,2352,30,1.515165
48241,2471,2493,22,1.080172
51709,2630,2660,30,1.431870
55427,2805,2821,16,0.742325
