tau,B_norm_chi5,env_rms_chi5,B_norm_chi4,env_rms_chi4
20.0000,-0.676023,0.355815,-0.241013,0.426184
20.0500,-0.791351,0.354014,-0.512151,0.427602
20.1000,-0.491666,0.354511,-0.455404,0.431013
20.1500,-0.618474,0.355151,-0.263072,0.430238
20.2000,-0.143799,0.375245,0.048339,0.425828
20.2500,0.543944,0.388842,0.438807,0.427895
20.3000,0.454412,0.389221,0.200135,0.412211
20.3500,0.417464,0.392274,-0.477005,0.401040
20.4000,0.378873,0.403861,-0.498982,0.389916
20.4500,-0.004815,0.421860,0.039737,0.385386
20.5000,0.044579,0.430840,0.202665,0.385209
20.5500,0.008258,0.436156,0.113380,0.385517
20.6000,0.047428,0.437332,0.380208,0.395198
20.6500,0.169146,0.433326,0.642836,0.392408
20.7000,-0.098310,0.429953,0.677980,0.385276
20.7500,0.018597,0.424397,0.737950,0.384157
20.8000,-0.063124,0.416458,0.290509,0.379605
20.8500,0.154774,0.418059,-0.413402,0.384268
20.9000,0.275891,0.410953,-0.306212,0.386175
20.9500,-0.102092,0.414779,-0.181241,0.381136
21.0000,-0.343675,0.396589,-0.666811,0.381842
21.0500,-0.256329,0.382352,-0.703035,0.383259
21.1000,0.157673,0.367162,-0.391067,0.375813
21.1500,-0.307782,0.359387,-0.257640,0.369136
21.2000,-0.791013,0.353207,0.126945,0.367084
21.2500,-0.655687,0.355502,0.395947,0.372829
21.3000,-0.111533,0.348355,0.065719,0.385106
21.3500,0.327836,0.346186,-0.295305,0.399402
21.4000,0.637856,0.349787,-0.229098,0.398360
21.4500,0.782039,0.347008,0.023684,0.390711
21.5000,0.560354,0.352483,0.085134,0.400251
21.5500,0.436982,0.352416,0.225413,0.424914
21.6000,-0.205286,0.353880,0.558102,0.443102
21.6500,-0.023645,0.354546,0.398611,0.445256
21.7000,0.234307,0.353614,0.011271,0.437920
21.7500,-0.108840,0.353466,0.068975,0.425370
21.8000,-0.148984,0.353700,0.223586,0.418544
21.8500,-0.274660,0.355359,0.385209,0.416100
21.9000,-0.375488,0.356051,0.359790,0.411298
21.9500,-0.609306,0.353884,-0.221049,0.410317
22.0000,-0.145402,0.355299,-0.533279,0.410595
22.0500,-0.048290,0.352385,-0.320206,0.402734
22.1000,-0.399292,0.350635,-0.174808,0.387734
22.1500,-0.100751,0.351146,0.058969,0.389768
22.2000,0.449388,0.348157,0.085185,0.394254
22.2500,0.295536,0.332947,-0.420265,0.393756
22.3000,-0.299383,0.325042,-0.757669,0.388911
22.3500,0.380425,0.338021,-0.707029,0.408616
22.4000,0.526348,0.354486,-0.439830,0.414443
22.4500,0.253275,0.367381,0.038965,0.414535
22.5000,0.396276,0.358478,0.557637,0.414605
22.5500,-0.007914,0.347633,0.935660,0.414425
22.6000,-0.206069,0.341777,0.812498,0.415064
22.6500,-0.146958,0.340439,0.472240,0.407119
22.7000,-0.039440,0.345861,0.384178,0.411450
22.7500,-0.073319,0.354765,-0.124344,0.422935
22.8000,-0.084407,0.364018,-0.555308,0.423539
22.8500,-0.228466,0.372994,-0.027516,0.424358
22.9000,-0.210149,0.375876,0.089502,0.423520
22.9500,0.114101,0.371691,-0.246416,0.419914
23.0000,-0.227091,0.359434,0.205421,0.418508
23.0500,-0.183240,0.358921,0.427224,0.410245
23.1000,0.123458,0.359044,-0.090042,0.416280
23.1500,-0.198901,0.361190,-0.466651,0.422945
23.2000,-0.095075,0.367220,-0.458901,0.423990
23.2500,-0.448278,0.365583,-0.003498,0.426699
23.3000,-0.465483,0.365685,-0.036238,0.424544
23.3500,0.604383,0.364293,-0.805392,0.408114
23.4000,0.758277,0.362603,-0.532742,0.393862
23.4500,0.887972,0.353194,0.235833,0.387995
23.5000,0.588744,0.351653,0.054304,0.392483
23.5500,-0.006114,0.349022,0.033754,0.389285
23.6000,0.159479,0.349686,0.269313,0.360825
23.6500,-0.068620,0.348251,0.208978,0.343404
23.7000,-0.391314,0.348749,0.551568,0.337374
23.7500,-0.557388,0.355726,0.626920,0.340486
23.8000,-0.533415,0.368325,0.160364,0.355634
23.8500,-0.541698,0.373704,0.280106,0.345240
23.9000,-0.404864,0.372994,0.345332,0.345283
23.9500,-0.112802,0.371559,-0.068978,0.350683
24.0000,0.062018,0.371472,-0.022727,0.352568
24.0500,0.077498,0.374180,-0.060401,0.353598
24.1000,0.077215,0.373132,-0.554107,0.347796
24.1500,0.472015,0.373856,-0.509792,0.353491
24.2000,0.436164,0.372749,-0.199379,0.359356
24.2500,0.390864,0.372834,-0.318990,0.357234
24.3000,0.300641,0.387310,-0.318469,0.361822
