tau,B_norm_chi5,env_rms_chi5,B_norm_chi4,env_rms_chi4
130.0000,0.335260,0.415682,0.270504,0.426022
130.0500,0.184804,0.411371,0.344171,0.435293
130.1000,0.381570,0.426612,0.325085,0.437409
130.1500,0.646490,0.431078,0.329010,0.435197
130.2000,0.796213,0.427152,0.282289,0.421170
130.2500,0.509447,0.414732,-0.018332,0.398100
130.3000,-0.045631,0.416514,-0.304430,0.383058
130.3500,-0.142627,0.414446,-0.033042,0.383396
130.4000,0.059068,0.417765,0.322817,0.383533
130.4500,-0.016742,0.408168,0.300037,0.378987
130.5000,-0.298102,0.398168,0.273664,0.384700
130.5500,-0.641879,0.395966,-0.011125,0.382863
130.6000,-0.619959,0.398969,-0.377654,0.394082
130.6500,-0.428096,0.399589,-0.110308,0.401685
130.7000,-0.287621,0.402108,-0.078890,0.404162
130.7500,0.111571,0.403524,-0.697806,0.401633
130.8000,0.656016,0.396768,-0.943212,0.401786
130.8500,0.397475,0.377035,-0.734720,0.403329
130.9000,-0.218231,0.363268,-0.351682,0.400050
130.9500,-0.143499,0.360698,0.241467,0.401046
131.0000,-0.385249,0.361880,0.805750,0.400964
131.0500,0.047274,0.359843,0.988241,0.406260
131.1000,0.737724,0.365960,0.366123,0.403445
131.1500,0.452430,0.361813,-0.211031,0.401736
131.2000,0.140745,0.351271,0.217518,0.399280
131.2500,-0.040988,0.337996,0.338726,0.401189
131.3000,0.270489,0.332424,-0.071834,0.406479
131.3500,0.110869,0.333028,0.129735,0.413224
131.4000,-0.544522,0.335095,0.128463,0.423786
131.4500,-0.243625,0.349146,-0.022319,0.422235
131.5000,0.285336,0.381655,0.423074,0.419825
131.5500,-0.131075,0.380957,0.130651,0.418311
131.6000,-0.313263,0.375259,-0.668896,0.421438
131.6500,-0.154215,0.365706,-0.593506,0.444873
131.7000,-0.321149,0.360625,-0.287985,0.467293
131.7500,-0.221043,0.366152,-0.095599,0.471469
131.8000,-0.194562,0.383869,-0.073176,0.458985
131.8500,-0.088912,0.370150,-0.361450,0.435144
131.9000,-0.010018,0.365711,0.015166,0.422592
131.9500,0.263267,0.364120,0.372015,0.420027
132.0000,0.263014,0.363536,-0.340243,0.418496
132.0500,0.228320,0.363527,-0.498435,0.399959
132.1000,0.464935,0.363468,0.158177,0.369301
132.1500,0.147845,0.346705,0.221952,0.365240
132.2000,0.331294,0.342152,0.166046,0.364209
132.2500,0.508718,0.342563,0.377286,0.365393
132.3000,0.326150,0.346802,0.418950,0.379222
132.3500,-0.136238,0.344399,0.565117,0.388745
132.4000,-0.277405,0.344664,0.602961,0.388603
132.4500,-0.630629,0.334259,0.224504,0.388217
132.5000,-0.987077,0.343278,0.082645,0.388289
132.5500,-0.258952,0.350299,0.151114,0.385375
132.6000,-0.485107,0.351032,-0.328334,0.387024
132.6500,-0.306848,0.347848,-0.987427,0.372797
132.7000,0.178726,0.350175,-0.922297,0.364559
132.7500,0.497401,0.348323,-0.408613,0.367273
132.8000,0.746512,0.346631,-0.103317,0.372327
132.8500,0.078985,0.346423,0.125201,0.378393
132.9000,0.155100,0.353698,0.313640,0.379390
132.9500,-0.001899,0.369824,0.187297,0.381546
133.0000,0.056428,0.385338,-0.075186,0.380238
133.0500,0.384902,0.384400,-0.164969,0.377984
133.1000,-0.021865,0.382799,-0.098263,0.370543
133.1500,-0.236961,0.375856,-0.108480,0.371029
133.2000,-0.275838,0.376375,-0.116979,0.378350
133.2500,0.177058,0.374475,0.287642,0.407366
133.3000,0.348548,0.369003,0.732753,0.406163
133.3500,0.071265,0.365541,0.552260,0.405151
133.4000,0.140641,0.364925,0.111034,0.395422
133.4500,-0.082927,0.370569,-0.064914,0.387318
133.5000,-0.556671,0.370285,0.052585,0.389732
133.5500,-0.530150,0.345591,0.294209,0.392732
133.6000,-0.195626,0.343803,0.263231,0.393240
133.6500,-0.083132,0.337765,-0.065033,0.397686
133.7000,-0.300609,0.338486,-0.321223,0.368848
133.7500,-0.223815,0.340491,-0.405438,0.339960
133.8000,0.025755,0.341002,-0.402984,0.333918
133.8500,0.178736,0.326025,-0.438262,0.333686
133.9000,0.465522,0.326196,-0.402004,0.333303
133.9500,0.691721,0.325575,-0.259796,0.331253
134.0000,0.741378,0.325656,-0.312306,0.334216
134.0500,0.198978,0.325537,-0.213811,0.343784
134.1000,-0.041930,0.329485,0.141624,0.355853
134.1500,-0.013908,0.330796,0.199494,0.357938
134.2000,-0.194645,0.352854,0.523632,0.361697
134.2500,-0.226366,0.350276,0.980982,0.366575
134.3000,-0.303340,0.349609,0.319684,0.367255
134.3500,0.045823,0.345816,-0.376653,0.364310
134.4000,-0.011278,0.345871,0.005335,0.361987
134.4500,-0.497139,0.348677,0.321693,0.362327
134.5000,-0.623745,0.348852,0.356806,0.370882
134.5500,-0.499539,0.337861,0.321012,0.378291
134.6000,-0.128478,0.330135,-0.198076,0.375677
134.6500,0.258068,0.335231,-0.501963,0.376063
134.7000,0.337880,0.338431,-0.262101,0.382306
134.7500,0.296221,0.336028,-0.105376,0.390945
134.8000,0.511546,0.335212,0.004909,0.391398
134.8500,0.384314,0.350511,0.065772,0.386306
134.9000,0.103933,0.389384,-0.072191,0.380868
134.9500,0.086457,0.402195,-0.206216,0.377513
135.0000,-0.046580,0.387622,-0.340452,0.376069
135.0500,-0.001967,0.370042,-0.521180,0.375793
135.1000,0.504159,0.370522,-0.611088,0.378095
135.1500,-0.189616,0.373181,-0.265840,0.400993
135.2000,-0.821244,0.373561,0.350258,0.399915
135.2500,-0.041792,0.380187,0.399147,0.397933
135.3000,-0.110564,0.389767,0.321246,0.372056
135.3500,0.115547,0.397209,0.669773,0.372945
135.4000,0.081418,0.398745,0.485622,0.369527
135.4500,-0.315712,0.400196,0.149716,0.372546
135.5000,0.109068,0.392631,0.511266,0.372835
135.5500,-0.020209,0.388660,0.479930,0.368888
135.6000,-0.263569,0.390880,-0.075802,0.366007
135.6500,-0.421053,0.391929,-0.284942,0.370670
135.7000,-0.308707,0.389995,-0.445376,0.362327
135.7500,-0.154646,0.388291,-0.614051,0.360261
135.8000,0.166242,0.385736,-0.422985,0.361923
135.8500,0.656345,0.377388,0.004013,0.362590
135.9000,1.100543,0.373752,0.145082,0.364487
135.9500,0.795290,0.373955,-0.239348,0.395138
136.0000,-0.081039,0.374739,-0.151219,0.444346
136.0500,0.059417,0.374815,0.298369,0.448617
136.1000,-0.232765,0.375998,-0.341856,0.441642
136.1500,-0.287785,0.373069,-0.866890,0.431795
136.2000,-0.108785,0.371894,-0.066263,0.432957
136.2500,-0.492600,0.349099,0.457559,0.433663
136.3000,-0.594698,0.355869,0.381301,0.431301
