x,E_actual,E_predicted,E_norm_actual,E_norm_predicted,residual_norm
100,4,1.8716,1.842068,0.861904,-0.980164
107,5,2.1177,2.258697,0.956657,-1.302040
115,5,2.9065,2.212336,1.286014,-0.926322
123,5,2.9686,2.169500,1.288080,-0.881420
132,5,3.1195,2.124967,1.325751,-0.799216
141,5,3.1179,2.083804,1.299434,-0.784370
152,3,1.4512,1.222472,0.591347,-0.631125
163,5,2.3649,1.994867,0.943519,-1.051348
174,7,4.1399,2.737749,1.619146,-1.118603
187,5,2.3279,1.912683,0.890490,-1.022193
200,5,2.8131,1.873238,1.053939,-0.819299
215,4,1.5302,1.465098,0.560460,-0.904638
230,5,3.2336,1.792882,1.159499,-0.633383
247,4,1.6037,1.402216,0.562185,-0.840031
264,5,1.9960,1.715880,0.684995,-1.030885
283,4,1.3824,1.342348,0.463903,-0.878445
304,5,2.8675,1.639470,0.940251,-0.699219
326,7,4.1583,2.243546,1.332774,-0.910772
349,7,4.8846,2.193904,1.530905,-0.662999
374,9,5.6845,2.757024,1.741363,-1.015661
401,8,5.7021,2.394593,1.706768,-0.687825
430,5,2.3827,1.462108,0.696765,-0.765343
461,4,2.6085,1.142643,0.745149,-0.397494
494,5,2.8253,1.395326,0.788430,-0.606896
529,4,1.3639,1.090607,0.371867,-0.718740
567,6,2.1932,1.597620,0.583981,-1.013639
608,6,3.9110,1.559802,1.016720,-0.543082
652,7,4.2750,1.776447,1.084899,-0.691548
699,8,5.2640,1.981844,1.304044,-0.677800
749,7,3.3762,1.692904,0.816508,-0.876396
803,8,4.5501,1.888215,1.073958,-0.814257
860,6,3.8747,1.382457,0.892760,-0.489697
922,8,5.7489,1.798562,1.292469,-0.506093
988,11,7.3047,2.413190,1.602507,-0.810683
1060,6,3.4110,1.283758,0.729806,-0.553952
1136,8,5.1952,1.669866,1.084418,-0.585448
1217,10,5.7210,2.036416,1.165030,-0.871386
1305,8,5.8020,1.588706,1.152206,-0.436500
1399,7,4.2363,1.355621,0.820401,-0.535220
1499,6,2.5357,1.133234,0.478925,-0.654309
