# Combined magnitude data, zeros vs random; N_each=200
# K-S statistic D=0.080000, p=0.527189 (on log10(magnitude))
source,index_or_k,t_or_gamma,magnitude
zero,1,14.1347251417,0.044774201493
zero,2,21.0220396388,0.0924072188567
zero,3,25.0108575801,9.21646717897
zero,4,30.4248761259,11.4278604784
zero,5,32.9350615877,0.601614203211
zero,6,37.5861781588,0.373748653951
zero,7,40.9187190121,2.06593006505
zero,8,43.3270732809,1.11859562087
zero,9,48.0051508812,0.624665998303
zero,10,49.7738324777,0.208187531395
zero,11,52.9703214777,5.07437503617
zero,12,56.4462476971,0.0960744730577
zero,13,59.3470440026,1.60606734251
zero,14,60.8317785246,2.07166662982
zero,15,65.1125440481,0.0409330075835
zero,16,67.0798105295,0.533503756652
zero,17,69.5464017112,7.66419390169
zero,18,72.0671576745,0.609405346586
zero,19,75.7046906991,0.490231847567
zero,20,77.1448400689,3.35903444414
zero,21,79.3373750202,17.6133400232
zero,22,82.9103808541,2.26725767842
zero,23,84.7354929805,0.0276803099907
zero,24,87.4252746131,1.38718211806
zero,25,88.8091112076,5.19698045471
zero,26,92.4918992706,2.86502598808
zero,27,94.6513440405,0.23706640273
zero,28,95.8706342282,0.333981212844
zero,29,98.8311942182,14.6794487136
zero,30,101.317851006,0.121063885474
zero,31,103.72553804,1.3485827519
zero,32,105.446623052,24.0398949306
zero,33,107.168611184,0.615894145118
zero,34,111.029535543,0.0664995882437
zero,35,111.874659177,0.071913536767
zero,36,114.320220915,2.0628833508
zero,37,116.226680321,922.946530785
zero,38,118.790782866,0.615796935387
zero,39,121.370125002,2.90246359945
zero,40,122.946829294,0.78419937962
zero,41,124.256818554,0.237844886433
zero,42,127.51668388,1.24667229083
zero,43,129.5787042,0.0344701002705
zero,44,131.087688531,0.257811478547
zero,45,133.497737203,4.31844917201
zero,46,134.756509753,4.14273351969
zero,47,138.116042055,0.896696508271
zero,48,139.736208952,0.590576619582
zero,49,141.123707404,2.85417941454
zero,50,143.111845808,1.42592362309
zero,51,146.000982487,0.225754956716
zero,52,147.422765343,0.086002965899
zero,53,150.053520421,3.41626401706
zero,54,150.925257612,11.6005028675
zero,55,153.024693811,0.176187926998
zero,56,156.112909294,0.255164965109
zero,57,157.597591818,0.603341898085
zero,58,158.849988171,0.18230572648
zero,59,161.188964138,12.3565065087
zero,60,163.030709687,3.47748587473
zero,61,165.537069188,0.0150117879335
zero,62,167.184439978,14.3336843535
zero,63,169.094515416,0.23245160815
zero,64,169.911976479,3.71693609044
zero,65,173.41153652,0.551661090239
zero,66,174.754191523,0.101671588304
zero,67,176.441434298,0.432173091818
zero,68,178.377407776,2.54414745288
zero,69,179.91648402,1.46316086912
zero,70,182.207078484,0.44979038681
zero,71,184.874467848,0.45263899923
zero,72,185.598783678,0.381936035552
zero,73,187.228922584,0.765514891996
zero,74,189.416158656,6.96995895304
zero,75,192.026656361,0.324204560965
zero,76,193.079726604,0.0997518609162
zero,77,195.26539668,78.9656516865
zero,78,196.876481841,21.190799003
zero,79,198.015309676,0.448421287607
zero,80,201.264751944,1.19392955039
zero,81,202.493594514,1.11346092175
zero,82,204.189671803,0.174193899945
zero,83,205.394697202,0.622762421457
zero,84,207.906258888,1.92550763993
zero,85,209.576509717,0.176008462863
zero,86,211.690862595,0.412726166315
zero,87,213.34791936,4.57886692494
zero,88,214.547044783,16.2523428961
zero,89,216.169538508,1.04591482683
zero,90,219.067596349,7.13251391751
zero,91,220.714918839,0.265618402509
zero,92,221.430705555,0.268603866466
zero,93,224.007000255,1.36171544372
zero,94,224.98332467,7.57928789531
zero,95,227.42144428,0.125732332476
zero,96,229.337413306,1.4949989364
zero,97,231.2501887,1.66778049635
zero,98,231.987235253,1.25005977536
zero,99,233.693404179,0.45914442282
zero,100,236.524229666,0.590428117478
zero,101,237.769820481,0.253211405573
zero,102,239.555477573,0.0435206014715
zero,103,241.049157796,26.0349730725
zero,104,242.823271934,4.62805911437
zero,105,244.070898497,0.363293287933
zero,106,247.136990075,0.501722173358
zero,107,248.10199006,2.11610031642
zero,108,249.573689645,0.123138408508
zero,109,251.014947795,16.2444642545
zero,110,253.069986748,8.78816503754
