# Off-line lock-breaking test (Layer 3a follow-up Task 2)
# dps=50  N_ZEROS=10  Re(s) in {0.4, 0.5, 0.6}
# Pass: residual > 0.01 at Re(s) in {0.4, 0.6} for >= 9 zeros
k,gamma,residual_at_0.4,residual_at_0.5,residual_at_0.6,magnitude_at_0.4,magnitude_at_0.5,magnitude_at_0.6,broken
1,14.1347251417346937904572519836,1.48553,1.92439e-49,1.48553,0.233921,0.0447742,0.233921,true
2,21.0220396387715549926284795939,0.297469,2.27185e-50,0.297469,0.0989728,0.0924072,0.0989728,true
3,25.0108575801456887632137909926,0.00499093,4.00915e-51,0.00499093,8.97359,9.21647,8.97359,false
4,30.4248761258595132103118975306,1.30398,3.20732e-50,1.30398,4.17662,11.4279,4.17662,true
5,32.9350615877391896906623689641,0.256326,2.13821e-50,0.256326,0.61764,0.601614,0.61764,true
6,37.5861781588256712572177634807,0.708118,5.34553e-51,0.708118,0.382327,0.373749,0.382327,true
7,40.9187190121474951873981269146,0.268551,1.60366e-50,0.268551,2.06494,2.06593,2.06494,true
8,43.3270732809149995194961221654,0.140823,8.68649e-50,0.140823,1.19446,1.1186,1.19446,true
9,48.0051508811671597279424727494,0.0508539,1.87094e-50,0.0508539,0.625218,0.624666,0.625218,true
10,49.7738324776723021819167846786,0.452661,6.94919e-50,0.452661,0.222751,0.208188,0.222751,true
