k,gamma,sign,spacing_to_next
1,14.1347251417,+,6.887314
2,21.0220396388,-,3.988818
3,25.0108575801,-,5.414019
4,30.4248761259,+,2.510185
5,32.9350615877,-,4.651117
6,37.5861781588,+,3.332541
7,40.9187190121,+,2.408354
8,43.3270732809,-,4.678078
9,48.0051508812,-,1.768682
10,49.7738324777,+,3.196489
11,52.9703214777,-,3.475926
12,56.4462476971,+,2.900796
13,59.3470440026,-,1.484735
14,60.8317785246,-,4.280766
15,65.1125440481,-,1.967266
16,67.0798105295,-,2.466591
17,69.5464017112,+,2.520756
18,72.0671576745,-,3.637533
19,75.7046906991,+,1.440149
20,77.1448400689,-,2.192535
21,79.3373750202,-,3.573006
22,82.9103808541,-,1.825112
23,84.7354929805,-,2.689782
24,87.4252746131,-,1.383837
25,88.8091112076,-,3.682788
26,92.4918992706,-,2.159445
27,94.6513440405,-,1.219290
28,95.8706342282,-,2.960560
29,98.8311942182,-,2.486657
30,101.3178510057,-,2.407687
31,103.7255380405,+,1.721085
32,105.4466230523,+,1.721988
33,107.1686111843,-,3.860924
34,111.0295355432,-,0.845124
35,111.8746591770,-,2.445562
36,114.3202209155,+,1.906459
37,116.2266803209,-,2.564103
38,118.7907828660,-,2.579342
39,121.3701250024,-,1.576704
40,122.9468292936,-,1.309989
41,124.2568185543,-,3.259865
42,127.5166838796,-,2.062020
43,129.5787042000,-,1.508984
44,131.0876885309,+,2.410049
45,133.4977372030,-,1.258773
46,134.7565097534,-,3.359532
47,138.1160420545,+,1.620167
48,139.7362089521,+,1.387498
49,141.1237074040,-,1.988138
50,143.1118458076,-,2.889137
51,146.0009824868,+,1.421783
52,147.4227653426,+,2.630755
53,150.0535204208,+,0.871737
54,150.9252576122,-,2.099436
55,153.0246938112,+,3.088215
56,156.1129092942,-,1.484683
57,157.5975918176,-,1.252396
58,158.8499881714,+,2.338976
59,161.1889641376,-,1.841746
60,163.0307096872,+,2.506360
61,165.5370691879,-,1.647371
62,167.1844399782,+,1.910075
63,169.0945154156,-,0.817461
64,169.9119764794,-,3.499560
65,173.4115365196,+,1.342655
66,174.7541915234,+,1.687243
67,176.4414342977,+,1.935973
68,178.3774077761,+,1.539076
69,179.9164840203,+,2.290594
70,182.2070784844,+,2.667389
71,184.8744678484,+,0.724316
72,185.5987836777,-,1.630139
73,187.2289225835,+,2.187236
74,189.4161586560,-,2.610498
75,192.0266563607,-,1.053070
76,193.0797266038,-,2.185670
77,195.2653966795,-,1.611085
78,196.8764818410,-,1.138828
79,198.0153096763,-,3.249442
80,201.2647519437,-,1.228843
81,202.4935945141,+,1.696077
82,204.1896718031,-,1.205025
83,205.3946972022,+,2.511562
84,207.9062588878,-,1.670251
85,209.5765097169,+,2.114353
86,211.6908625954,+,1.657057
87,213.3479193597,+,1.199125
88,214.5470447835,+,1.622494
89,216.1695385083,-,2.898058
90,219.0675963490,+,1.647322
91,220.7149188393,+,0.715787
92,221.4307055547,-,2.576295
93,224.0070002546,+,0.976324
94,224.9833246696,-,2.438120
95,227.4214442797,-,1.915969
96,229.3374133055,+,1.912775
97,231.2501887005,-,0.737047
98,231.9872352532,-,1.706169
99,233.6934041789,-,2.830825
100,236.5242296658,+,1.245591
101,237.7698204809,-,1.785657
102,239.5554775733,-,1.493680
103,241.0491577962,+,1.774114
104,242.8232719342,-,1.247627
105,244.0708984971,-,3.066092
106,247.1369900749,+,0.965000
107,248.1019900601,-,1.471700
108,249.5736896447,+,1.441258
109,251.0149477950,-,2.055039
110,253.0699867480,+,2.236270
111,255.3062564549,+,1.074457
112,256.3807136944,+,2.229726
113,258.6104394915,+,1.263967
114,259.8744069897,-,0.930678
115,260.8050845046,-,2.768809
116,263.5738939049,-,1.983958
117,265.5578518389,-,1.057122
118,266.6149737815,+,1.306941
119,267.9219150828,-,2.048534
120,269.9704490240,-,1.523607
121,271.4940556416,+,1.965554
122,273.4596091884,-,2.127883
123,275.5874926493,+,0.864557
124,276.4520495031,+,1.798694
125,278.2507435298,-,0.978507
126,279.2292509277,-,3.235864
127,282.4651147651,-,0.746071
128,283.2111857332,-,1.624778
129,284.8359639809,+,1.831481
130,286.6674453630,+,1.244475
131,287.9119205014,-,1.667934
132,289.5798549292,-,2.266436
133,291.8462913291,+,1.712143
134,293.5584341394,-,1.406935
135,294.9653696193,+,0.607885
136,295.5732548790,-,2.406022
137,297.9792770619,-,1.861049
138,299.8403260537,+,1.808999
139,301.6493254622,-,1.047424
140,302.6967495896,+,2.167622
141,304.8643713409,-,0.864541
142,305.7289126020,-,1.490584
143,307.2194961282,-,2.889967
144,310.1094631467,-,1.055678
145,311.1651415304,+,1.262660
146,312.4278011806,-,1.557485
147,313.9852857312,+,1.490330
148,315.4756160895,-,2.259190
149,317.7348059424,+,1.118298
150,318.8531042563,-,2.307030
151,321.1601343091,+,0.984424
152,322.1445586725,-,1.322411
153,323.4669695575,-,1.395896
154,324.8628660517,-,2.581035
155,327.4439012619,-,1.589170
156,329.0330716805,-,0.920168
157,329.9532397282,-,1.521228
158,331.4744675827,+,2.170911
159,333.6453785249,-,0.565976
160,334.2113548332,-,2.630496
161,336.8418504284,-,1.498142
162,338.3399928508,+,1.518224
163,339.8582167254,-,1.184044
164,341.0422611110,-,1.012616
165,342.0548775104,-,2.606825
166,344.6617029403,-,1.686168
167,346.3478705660,+,0.924807
168,347.2726775844,+,2.043583
169,349.3162608707,+,1.092158
170,350.4084193492,+,1.470230
171,351.8786490254,+,1.610251
172,353.4889004887,-,2.528674
173,356.0175749773,+,1.133727
174,357.1513022520,-,0.801383
175,357.9526851016,-,1.791070
176,359.7437549531,+,1.545607
177,361.2893616958,-,2.041969
178,363.3313305790,+,1.404694
179,364.7360241141,-,1.476686
180,366.2127102883,+,1.780865
181,367.9935754817,-,0.974863
182,368.9684380957,-,1.082481
183,370.0509192121,-,3.011009
184,373.0619283721,-,0.802946
185,373.8648739109,+,1.961039
186,375.8259127667,+,0.498179
187,376.3240922307,+,2.112588
188,378.4366802500,-,1.436295
189,379.8729753465,-,1.611493
190,381.4844686172,+,1.959061
191,383.4435294495,-,1.512587
192,384.9561168149,+,0.905184
