n,riemann_zero_t,matched_minimum_t,delta,local_spacing,delta_over_spacing,null_mean_delta,delta_vs_null,matched_W1
1,14.134725,13.720000,0.414725,6.887314,0.0602,0.399549,1.0380,Y
2,21.022040,20.472000,0.550040,3.988818,0.1379,0.452971,1.2143,Y
3,25.010858,24.752000,0.258858,5.414019,0.0478,0.421296,0.6144,Y
4,30.424876,30.536000,0.111124,2.510185,0.0443,0.461643,0.2407,Y
5,32.935062,32.984000,0.048938,4.651117,0.0105,0.456756,0.1071,Y
6,37.586178,37.432000,0.154178,3.332541,0.0463,0.426913,0.3611,Y
7,40.918719,40.256000,0.662719,2.408354,0.2752,0.423842,1.5636,Y
8,43.327073,43.280000,0.047073,4.678078,0.0101,0.460901,0.1021,Y
9,48.005151,47.680000,0.325151,1.768682,0.1838,0.433346,0.7503,Y
10,49.773832,48.960000,0.813832,3.196489,0.2546,0.439301,1.8526,Y
11,52.970321,52.656000,0.314321,3.475926,0.0904,0.423496,0.7422,Y
12,56.446248,56.344000,0.102248,2.900796,0.0352,0.436366,0.2343,Y
13,59.347044,58.664000,0.683044,1.484735,0.4600,0.405812,1.6832,Y
14,60.831779,60.480000,0.351779,4.280766,0.0822,0.445938,0.7888,Y
15,65.112544,65.000000,0.112544,1.967266,0.0572,0.440250,0.2556,Y
16,67.079811,66.608000,0.471811,2.466591,0.1913,0.451175,1.0457,Y
17,69.546402,69.632000,0.085598,2.520756,0.0340,0.496870,0.1723,Y
18,72.067158,72.344000,0.276842,3.637533,0.0761,0.453613,0.6103,Y
19,75.704691,75.632000,0.072691,1.440149,0.0505,0.487395,0.1491,Y
20,77.144840,76.936000,0.208840,2.192535,0.0953,0.421102,0.4959,Y
21,79.337375,79.632000,0.294625,3.573006,0.0825,0.505010,0.5834,Y
22,82.910381,82.880000,0.030381,1.825112,0.0166,0.436009,0.0697,Y
23,84.735493,84.744000,0.008507,2.689782,0.0032,0.471821,0.0180,Y
24,87.425275,87.664000,0.238725,1.383837,0.1725,0.475185,0.5024,Y
25,88.809111,88.336000,0.473111,3.682788,0.1285,0.456292,1.0369,Y
26,92.491899,92.816000,0.324101,2.159445,0.1501,0.515842,0.6283,Y
27,94.651344,94.496000,0.155344,1.219290,0.1274,0.436397,0.3560,Y
28,95.870634,95.120000,0.750634,2.960560,0.2535,0.391453,1.9176,Y
29,98.831194,98.936000,0.104806,2.486657,0.0421,0.394083,0.2659,Y
30,101.317851,101.152000,0.165851,2.407687,0.0689,0.402121,0.4124,Y
31,103.725538,103.528000,0.197538,1.721085,0.1148,0.481784,0.4100,Y
32,105.446623,106.176000,0.729377,1.721988,0.4236,0.479855,1.5200,Y
33,107.168611,106.800000,0.368611,3.860924,0.0955,0.480128,0.7677,Y
34,111.029536,111.088000,0.058464,0.845124,0.0692,0.472306,0.1238,Y
35,111.874659,111.448000,0.426659,2.445562,0.1745,0.479037,0.8907,Y
36,114.320221,113.680000,0.640221,1.906459,0.3358,0.429005,1.4923,Y
37,116.226680,115.728000,0.498680,2.564103,0.1945,0.403167,1.2369,Y
38,118.790783,118.720000,0.070783,2.579342,0.0274,0.429552,0.1648,Y
39,121.370125,121.480000,0.109875,1.576704,0.0697,0.436603,0.2517,Y
40,122.946829,122.792000,0.154829,1.309989,0.1182,0.428817,0.3611,Y
41,124.256819,124.352000,0.095181,3.259865,0.0292,0.443966,0.2144,Y
42,127.516684,127.160000,0.356684,2.062020,0.1730,0.462828,0.7707,Y
43,129.578704,128.768000,0.810704,1.508984,0.5373,0.441184,1.8376,Y
44,131.087689,131.056000,0.031689,2.410049,0.0131,0.416783,0.0760,Y
45,133.497737,133.488000,0.009737,1.258773,0.0077,0.467329,0.0208,Y
46,134.756510,134.864000,0.107490,3.359532,0.0320,0.470057,0.2287,Y
47,138.116042,138.464000,0.347958,1.620167,0.2148,0.454512,0.7656,Y
48,139.736209,139.776000,0.039791,1.387498,0.0287,0.467864,0.0850,Y
49,141.123707,141.488000,0.364293,1.988138,0.1832,0.439472,0.8289,Y
50,143.111846,142.096000,1.015846,2.889137,0.3516,0.410508,2.4746,N
51,146.000982,146.208000,0.207018,1.421783,0.1456,0.457808,0.4522,Y
52,147.422765,147.552000,0.129235,2.630755,0.0491,0.425326,0.3038,Y
53,150.053520,150.592000,0.538480,0.871737,0.6177,0.490900,1.0969,Y
54,150.925258,150.856000,0.069258,2.099436,0.0330,0.442117,0.1567,Y
55,153.024694,152.800000,0.224694,3.088215,0.0728,0.447375,0.5022,Y
56,156.112909,156.376000,0.263091,1.484683,0.1772,0.440593,0.5971,Y
57,157.597592,157.424000,0.173592,1.252396,0.1386,0.471659,0.3680,Y
58,158.849988,158.704000,0.145988,2.338976,0.0624,0.438977,0.3326,Y
59,161.188964,160.768000,0.420964,1.841746,0.2286,0.492230,0.8552,Y
60,163.030710,163.184000,0.153290,2.506360,0.0612,0.417505,0.3672,Y
61,165.537069,165.712000,0.174931,1.647371,0.1062,0.496850,0.3521,Y
62,167.184440,167.056000,0.128440,1.910075,0.0672,0.428146,0.3000,Y
63,169.094515,169.976000,0.881485,0.817461,1.0783,0.420293,2.0973,Y
64,169.911976,169.976000,0.064024,3.499560,0.0183,0.449114,0.1426,Y
65,173.411537,173.496000,0.084463,1.342655,0.0629,0.460408,0.1835,Y
66,174.754192,174.584000,0.170192,1.687243,0.1009,0.429583,0.3962,Y
67,176.441434,176.376000,0.065434,1.935973,0.0338,0.423085,0.1547,Y
68,178.377408,178.720000,0.342592,1.539076,0.2226,0.436607,0.7847,Y
69,179.916484,179.944000,0.027516,2.290594,0.0120,0.441217,0.0624,Y
70,182.207078,182.064000,0.143078,2.667389,0.0536,0.463668,0.3086,Y
71,184.874468,184.296000,0.578468,0.724316,0.7986,0.383327,1.5091,Y
72,185.598784,186.360000,0.761216,1.630139,0.4670,0.413733,1.8399,Y
73,187.228923,187.720000,0.491077,2.187236,0.2245,0.420928,1.1667,Y
74,189.416159,189.248000,0.168159,2.610498,0.0644,0.379813,0.4427,Y
75,192.026656,192.104000,0.077344,1.053070,0.0734,0.442532,0.1748,Y
76,193.079727,192.104000,0.975727,2.185670,0.4464,0.455830,2.1405,Y
77,195.265397,194.848000,0.417397,1.611085,0.2591,0.473902,0.8808,Y
78,196.876482,196.792000,0.084482,1.138828,0.0742,0.454331,0.1859,Y
79,198.015310,197.896000,0.119310,3.249442,0.0367,0.450999,0.2645,Y
80,201.264752,200.968000,0.296752,1.228843,0.2415,0.431365,0.6879,Y
81,202.493595,202.336000,0.157595,1.696077,0.0929,0.452679,0.3481,Y
82,204.189672,203.768000,0.421672,1.205025,0.3499,0.417329,1.0104,Y
83,205.394697,204.688000,0.706697,2.511562,0.2814,0.412149,1.7147,Y
84,207.906259,208.008000,0.101741,1.670251,0.0609,0.453441,0.2244,Y
85,209.576510,209.496000,0.080510,2.114353,0.0381,0.464138,0.1735,Y
86,211.690863,211.872000,0.181137,1.657057,0.1093,0.422956,0.4283,Y
87,213.347919,213.288000,0.059919,1.199125,0.0500,0.475311,0.1261,Y
88,214.547045,213.288000,1.259045,1.622494,0.7760,0.469460,2.6819,N
89,216.169539,216.728000,0.558461,2.898058,0.1927,0.418599,1.3341,Y
90,219.067596,218.192000,0.875596,1.647322,0.5315,0.459929,1.9038,Y
91,220.714919,220.752000,0.037081,0.715787,0.0518,0.493243,0.0752,Y
92,221.430706,220.752000,0.678706,2.576295,0.2634,0.463587,1.4640,Y
93,224.007000,224.056000,0.049000,0.976324,0.0502,0.442115,0.1108,Y
94,224.983325,224.832000,0.151325,2.438120,0.0621,0.463045,0.3268,Y
95,227.421444,227.248000,0.173444,1.915969,0.0905,0.403311,0.4301,Y
96,229.337413,229.672000,0.334587,1.912775,0.1749,0.422045,0.7928,Y
97,231.250189,231.368000,0.117811,0.737047,0.1598,0.455918,0.2584,Y
98,231.987235,231.672000,0.315235,1.706169,0.1848,0.461822,0.6826,Y
99,233.693404,234.392000,0.698596,2.830825,0.2468,0.462500,1.5105,Y
100,236.524230,236.416000,0.108230,2.830825,0.0382,0.609661,0.1775,Y
