n,t_n,nearest_minimum_t,delta_n,nearest_null_minimum_t,delta_n_null,bin
1,14.134725,13.720000,0.414725,,0.408681,"[14,300)"
2,21.022040,20.472000,0.550040,,0.403745,"[14,300)"
3,25.010858,24.752000,0.258858,,0.410279,"[14,300)"
4,30.424876,30.536000,0.111124,,0.415116,"[14,300)"
5,32.935062,32.984000,0.048938,,0.417391,"[14,300)"
6,37.586178,37.432000,0.154178,,0.412037,"[14,300)"
7,40.918719,40.256000,0.662719,,0.429741,"[14,300)"
8,43.327073,43.280000,0.047073,,0.411416,"[14,300)"
9,48.005151,47.680000,0.325151,,0.415626,"[14,300)"
10,49.773832,48.960000,0.813832,,0.422307,"[14,300)"
11,52.970321,52.656000,0.314321,,0.439659,"[14,300)"
12,56.446248,56.344000,0.102248,,0.419746,"[14,300)"
13,59.347044,58.664000,0.683044,,0.443415,"[14,300)"
14,60.831779,60.480000,0.351779,,0.422897,"[14,300)"
15,65.112544,65.000000,0.112544,,0.429317,"[14,300)"
16,67.079811,66.608000,0.471811,,0.409162,"[14,300)"
17,69.546402,69.632000,0.085598,,0.410275,"[14,300)"
18,72.067158,72.344000,0.276842,,0.411301,"[14,300)"
19,75.704691,75.632000,0.072691,,0.394929,"[14,300)"
20,77.144840,76.936000,0.208840,,0.434286,"[14,300)"
21,79.337375,79.632000,0.294625,,0.449416,"[14,300)"
22,82.910381,82.880000,0.030381,,0.420283,"[14,300)"
23,84.735493,84.744000,0.008507,,0.410787,"[14,300)"
24,87.425275,87.664000,0.238725,,0.413932,"[14,300)"
25,88.809111,88.336000,0.473111,,0.417237,"[14,300)"
26,92.491899,92.816000,0.324101,,0.415480,"[14,300)"
27,94.651344,94.496000,0.155344,,0.426330,"[14,300)"
28,95.870634,95.120000,0.750634,,0.427207,"[14,300)"
29,98.831194,98.936000,0.104806,,0.425991,"[14,300)"
30,101.317851,101.152000,0.165851,,0.434365,"[14,300)"
31,103.725538,103.528000,0.197538,,0.444282,"[14,300)"
32,105.446623,106.176000,0.729377,,0.433181,"[14,300)"
33,107.168611,106.800000,0.368611,,0.429002,"[14,300)"
34,111.029536,111.088000,0.058464,,0.426790,"[14,300)"
35,111.874659,111.448000,0.426659,,0.413946,"[14,300)"
36,114.320221,113.680000,0.640221,,0.399480,"[14,300)"
37,116.226680,115.728000,0.498680,,0.402912,"[14,300)"
38,118.790783,118.720000,0.070783,,0.419988,"[14,300)"
39,121.370125,121.480000,0.109875,,0.413030,"[14,300)"
40,122.946829,122.792000,0.154829,,0.408821,"[14,300)"
41,124.256819,124.352000,0.095181,,0.425813,"[14,300)"
42,127.516684,127.160000,0.356684,,0.422113,"[14,300)"
43,129.578704,129.560000,0.018704,,0.423571,"[14,300)"
44,131.087689,131.056000,0.031689,,0.411281,"[14,300)"
45,133.497737,133.488000,0.009737,,0.403890,"[14,300)"
46,134.756510,134.864000,0.107490,,0.434306,"[14,300)"
47,138.116042,138.464000,0.347958,,0.441339,"[14,300)"
48,139.736209,139.776000,0.039791,,0.407592,"[14,300)"
49,141.123707,141.488000,0.364293,,0.405073,"[14,300)"
50,143.111846,143.176000,0.064154,,0.413136,"[14,300)"
51,146.000982,146.208000,0.207018,,0.407164,"[14,300)"
52,147.422765,147.552000,0.129235,,0.422461,"[14,300)"
53,150.053520,150.592000,0.538480,,0.423636,"[14,300)"
54,150.925258,150.856000,0.069258,,0.425022,"[14,300)"
55,153.024694,152.800000,0.224694,,0.399442,"[14,300)"
56,156.112909,156.376000,0.263091,,0.418966,"[14,300)"
57,157.597592,157.424000,0.173592,,0.405026,"[14,300)"
58,158.849988,158.704000,0.145988,,0.381246,"[14,300)"
59,161.188964,160.768000,0.420964,,0.425050,"[14,300)"
60,163.030710,163.184000,0.153290,,0.437503,"[14,300)"
61,165.537069,165.712000,0.174931,,0.420246,"[14,300)"
62,167.184440,167.056000,0.128440,,0.411617,"[14,300)"
63,169.094515,169.976000,0.881485,,0.410226,"[14,300)"
64,169.911976,169.976000,0.064024,,0.424236,"[14,300)"
65,173.411537,173.496000,0.084463,,0.399133,"[14,300)"
