n,t_n,nearest_minimum_t,delta_n,delta_n_null
1,6.650000,7.192000,0.542000,0.405198
2,9.830000,10.056000,0.226000,0.418580
3,11.960000,12.224000,0.264000,0.429210
4,16.030000,15.960000,0.070000,0.422451
5,17.570000,17.216000,0.354000,0.387916
6,19.540000,19.808000,0.268000,0.425415
7,22.230000,22.112000,0.118000,0.402361
8,24.590000,24.752000,0.162000,0.407893
9,26.780000,27.104000,0.324000,0.414141
10,28.460000,28.400000,0.060000,0.417122
11,29.710000,29.856000,0.146000,0.411028
12,33.000000,32.984000,0.016000,0.418064
13,34.730000,34.784000,0.054000,0.413959
14,35.870000,35.680000,0.190000,0.411844
15,38.130000,38.000000,0.130000,0.411107
16,39.560000,39.768000,0.208000,0.427537
17,41.840000,42.112000,0.272000,0.428817
18,44.030000,44.384000,0.354000,0.408536
19,45.430000,45.952000,0.522000,0.402396
20,46.490000,46.680000,0.190000,0.395109
21,48.350000,48.472000,0.122000,0.414448
22,51.090000,51.888000,0.798000,0.424124
23,52.130000,51.888000,0.242000,0.413790
24,53.830000,53.696000,0.134000,0.443048
25,55.590000,55.328000,0.262000,0.426444
26,56.840000,56.344000,0.496000,0.426948
27,58.390000,58.664000,0.274000,0.442333
28,61.140000,60.480000,0.660000,0.423386
29,62.130000,61.928000,0.202000,0.415908
30,63.710000,63.664000,0.046000,0.428265
31,64.640000,64.584000,0.056000,0.432537
32,66.750000,66.608000,0.142000,0.411601
33,68.590000,68.408000,0.182000,0.397539
34,70.120000,70.040000,0.080000,0.413741
35,71.610000,70.992000,0.618000,0.418844
36,73.350000,73.336000,0.014000,0.412189
37,74.290000,74.120000,0.170000,0.427822
38,75.530000,75.632000,0.102000,0.399170
39,78.070000,77.576000,0.494000,0.420196
40,79.790000,79.632000,0.158000,0.451009
41,80.570000,80.504000,0.066000,0.439971
42,81.920000,82.040000,0.120000,0.422373
43,83.700000,84.320000,0.620000,0.430683
44,84.950000,84.744000,0.206000,0.407652
45,86.810000,86.448000,0.362000,0.416350
46,88.280000,88.336000,0.056000,0.431006
47,90.380000,90.120000,0.260000,0.400400
48,90.710000,90.120000,0.590000,0.402102
49,92.450000,92.816000,0.366000,0.412340
50,93.390000,93.512000,0.122000,0.429132
51,95.970000,95.120000,0.850000,0.429432
52,97.330000,97.688000,0.358000,0.416430
53,98.230000,97.688000,0.542000,0.421472
54,99.840000,100.136000,0.296000,0.409905
55,101.190000,101.152000,0.038000,0.431248
56,102.610000,102.816000,0.206000,0.423759
57,103.660000,103.528000,0.132000,0.443210
58,105.970000,106.176000,0.206000,0.424857
59,107.300000,106.800000,0.500000,0.426350
60,108.500000,108.432000,0.068000,0.403919
61,109.550000,109.568000,0.018000,0.405154
62,110.630000,110.544000,0.086000,0.414129
63,114.230000,113.680000,0.550000,0.398424
64,115.580000,115.728000,0.148000,0.422584
65,116.630000,116.984000,0.354000,0.401191
66,118.370000,118.720000,0.350000,0.410580
67,119.560000,118.720000,0.840000,0.404668
68,120.280000,120.928000,0.648000,0.403685
69,122.060000,121.800000,0.260000,0.433548
70,124.240000,124.352000,0.112000,0.426123
71,125.280000,125.432000,0.152000,0.408879
72,126.400000,126.104000,0.296000,0.411086
73,127.320000,127.160000,0.160000,0.421788
74,129.050000,128.768000,0.282000,0.412354
75,130.200000,130.448000,0.248000,0.409547
76,132.090000,132.264000,0.174000,0.393994
77,133.030000,133.488000,0.458000,0.391544
78,134.930000,134.864000,0.066000,0.434675
79,135.870000,135.840000,0.030000,0.441952
80,137.200000,137.152000,0.048000,0.422467
81,138.030000,138.464000,0.434000,0.442518
82,139.410000,139.776000,0.366000,0.402694
83,141.950000,142.096000,0.146000,0.412685
84,142.520000,142.096000,0.424000,0.409351
85,143.960000,144.136000,0.176000,0.412286
86,144.950000,145.208000,0.258000,0.425980
87,146.380000,146.208000,0.172000,0.411657
88,147.880000,148.096000,0.216000,0.435759
89,148.680000,148.400000,0.280000,0.442718
90,150.560000,150.592000,0.032000,0.426734
91,152.120000,151.912000,0.208000,0.396474
92,153.290000,153.376000,0.086000,0.405135
93,154.490000,154.128000,0.362000,0.410935
94,155.240000,155.096000,0.144000,0.398113
95,156.500000,156.376000,0.124000,0.424133
96,158.400000,158.216000,0.184000,0.387247
97,159.870000,160.768000,0.898000,0.437345
98,161.250000,161.712000,0.462000,0.423582
99,161.760000,161.712000,0.048000,0.422957
100,163.760000,163.696000,0.064000,0.447309
101,164.610000,164.336000,0.274000,0.422863
102,165.780000,165.712000,0.068000,0.420778
103,166.900000,167.056000,0.156000,0.409703
104,170.440000,170.360000,0.080000,0.427336
105,171.340000,171.288000,0.052000,0.426427
106,172.110000,172.024000,0.086000,0.406936
107,173.560000,173.496000,0.064000,0.409453
108,174.640000,174.584000,0.056000,0.430035
109,177.730000,178.720000,0.990000,0.384693
110,178.790000,178.720000,0.070000,0.422157
111,180.240000,179.944000,0.296000,0.428163
112,181.570000,181.736000,0.166000,0.404774
113,182.380000,182.416000,0.036000,0.420797
114,183.800000,184.296000,0.496000,0.412708
115,184.360000,184.296000,0.064000,0.407648
116,186.900000,186.360000,0.540000,0.433623
117,187.950000,187.840000,0.110000,0.419417
118,188.960000,188.872000,0.088000,0.406348
119,190.140000,190.976000,0.836000,0.396833
120,190.970000,190.976000,0.006000,0.412664
121,192.830000,192.104000,0.726000,0.412320
122,193.530000,194.544000,1.014000,0.436690
123,196.540000,196.792000,0.252000,0.424395
124,197.860000,197.896000,0.036000,0.413493
125,199.090000,199.400000,0.310000,0.413391
126,200.250000,200.392000,0.142000,0.417221
127,200.750000,200.968000,0.218000,0.411995
128,205.750000,206.240000,0.490000,0.393132
129,206.160000,206.240000,0.080000,0.407250
130,207.460000,207.408000,0.052000,0.396078
131,208.630000,208.392000,0.238000,0.428132
132,210.310000,210.352000,0.042000,0.408308
133,210.670000,210.648000,0.022000,0.408756
134,212.230000,212.200000,0.030000,0.421127
135,213.520000,213.288000,0.232000,0.423283
136,215.450000,216.728000,1.278000,0.422173
137,216.340000,216.728000,0.388000,0.430079
138,217.200000,216.728000,0.472000,0.404834
139,218.450000,218.192000,0.258000,0.390107
140,219.260000,220.008000,0.748000,0.405351
141,222.470000,222.904000,0.434000,0.419520
