n,t_n,nearest_minimum_t,delta_n,delta_n_null
1,14.134725,13.720000,0.414725,0.398864
2,21.022040,20.472000,0.550040,0.426520
3,25.010858,24.752000,0.258858,0.422253
4,30.424876,30.536000,0.111124,0.422134
5,32.935062,32.984000,0.048938,0.421404
6,37.586178,37.432000,0.154178,0.417556
7,40.918719,40.256000,0.662719,0.417155
8,43.327073,43.280000,0.047073,0.415794
9,48.005151,47.680000,0.325151,0.416904
10,49.773832,48.960000,0.813832,0.413880
11,52.970321,52.656000,0.314321,0.441520
12,56.446248,56.344000,0.102248,0.432997
13,59.347044,58.664000,0.683044,0.422518
14,60.831779,60.480000,0.351779,0.396229
15,65.112544,65.000000,0.112544,0.411688
16,67.079811,66.608000,0.471811,0.426903
17,69.546402,69.632000,0.085598,0.416299
18,72.067158,72.344000,0.276842,0.422712
19,75.704691,75.632000,0.072691,0.422404
20,77.144840,76.936000,0.208840,0.426964
21,79.337375,79.632000,0.294625,0.401095
22,82.910381,82.880000,0.030381,0.411180
23,84.735493,84.744000,0.008507,0.420079
24,87.425275,87.664000,0.238725,0.416984
25,88.809111,88.336000,0.473111,0.410094
26,92.491899,92.816000,0.324101,0.426733
27,94.651344,94.496000,0.155344,0.436922
28,95.870634,95.120000,0.750634,0.426327
29,98.831194,98.936000,0.104806,0.442617
30,101.317851,101.152000,0.165851,0.431785
31,103.725538,103.528000,0.197538,0.425851
32,105.446623,106.176000,0.729377,0.440344
33,107.168611,106.800000,0.368611,0.443540
34,111.029536,111.088000,0.058464,0.441602
35,111.874659,111.448000,0.426659,0.454797
36,114.320221,113.680000,0.640221,0.418383
37,116.226680,115.728000,0.498680,0.424040
38,118.790783,118.720000,0.070783,0.412575
39,121.370125,121.480000,0.109875,0.407226
40,122.946829,122.792000,0.154829,0.442078
41,124.256819,124.352000,0.095181,0.419401
42,127.516684,127.160000,0.356684,0.424296
43,129.578704,129.560000,0.018704,0.435643
44,131.087689,131.056000,0.031689,0.432082
45,133.497737,133.488000,0.009737,0.428218
46,134.756510,134.864000,0.107490,0.422840
47,138.116042,138.464000,0.347958,0.423694
48,139.736209,139.776000,0.039791,0.420033
49,141.123707,141.488000,0.364293,0.412393
50,143.111846,143.176000,0.064154,0.430837
51,146.000982,146.208000,0.207018,0.411358
52,147.422765,147.552000,0.129235,0.405009
53,150.053520,150.592000,0.538480,0.430103
54,150.925258,150.856000,0.069258,0.422696
55,153.024694,152.800000,0.224694,0.407823
56,156.112909,156.376000,0.263091,0.430567
57,157.597592,157.424000,0.173592,0.426062
58,158.849988,158.704000,0.145988,0.422587
59,161.188964,160.768000,0.420964,0.436959
60,163.030710,163.184000,0.153290,0.372407
61,165.537069,165.712000,0.174931,0.415142
62,167.184440,167.056000,0.128440,0.437772
63,169.094515,169.976000,0.881485,0.441582
64,169.911976,169.976000,0.064024,0.445908
65,173.411537,173.496000,0.084463,0.418091
66,174.754192,174.584000,0.170192,0.429596
67,176.441434,176.376000,0.065434,0.426517
68,178.377408,178.720000,0.342592,0.437241
