n,t_n,nearest_minimum_t,delta_n,delta_n_null
1,14.134725,12.248000,1.886725,1.782018
2,21.022040,22.016000,0.993960,1.717700
3,25.010858,27.088000,2.077142,1.798830
4,30.424876,32.336000,1.911124,1.835283
5,32.935062,32.336000,0.599062,1.761344
6,37.586178,36.632000,0.954178,1.744111
7,40.918719,41.768000,0.849281,1.682616
8,43.327073,41.768000,1.559073,1.710681
9,48.005151,46.016000,1.989151,1.758689
10,49.773832,46.016000,3.757832,1.829668
11,52.970321,46.016000,6.954321,1.832847
12,56.446248,60.360000,3.913752,1.788595
13,59.347044,60.360000,1.012956,1.796887
14,60.831779,60.360000,0.471779,1.793860
15,65.112544,65.816000,0.703456,1.729825
16,67.079811,67.624000,0.544189,1.802268
17,69.546402,70.520000,0.973598,1.775337
18,72.067158,73.352000,1.284842,1.843593
19,75.704691,75.240000,0.464691,1.712542
20,77.144840,76.792000,0.352840,1.754784
21,79.337375,80.752000,1.414625,1.814969
22,82.910381,84.256000,1.345619,1.799803
23,84.735493,84.256000,0.479493,1.848477
24,87.425275,85.928000,1.497275,1.824929
25,88.809111,85.928000,2.881111,1.841828
26,92.491899,96.384000,3.892101,1.827162
27,94.651344,96.384000,1.732656,1.769998
28,95.870634,96.384000,0.513366,1.762512
29,98.831194,99.384000,0.552806,1.754983
30,101.317851,99.384000,1.933851,1.745214
31,103.725538,99.384000,4.341538,1.806420
32,105.446623,111.024000,5.577377,1.786519
33,107.168611,111.024000,3.855389,1.712344
34,111.029536,111.024000,0.005536,1.769019
35,111.874659,111.024000,0.850659,1.806564
36,114.320221,111.024000,3.296221,1.766897
37,116.226680,111.024000,5.202680,1.757713
38,118.790783,122.488000,3.697217,1.767113
39,121.370125,122.488000,1.117875,1.699561
40,122.946829,122.488000,0.458829,1.713697
41,124.256819,124.784000,0.527181,1.720856
42,127.516684,124.784000,2.732684,1.758851
43,129.578704,130.432000,0.853296,1.778571
44,131.087689,130.432000,0.655689,1.807226
45,133.497737,132.336000,1.161737,1.777792
46,134.756510,134.864000,0.107490,1.772516
47,138.116042,134.864000,3.252042,1.786287
48,139.736209,143.256000,3.519791,1.773609
49,141.123707,143.256000,2.132293,1.796585
50,143.111846,143.256000,0.144154,1.721197
51,146.000982,143.256000,2.744982,1.674940
52,147.422765,150.664000,3.241235,1.692931
53,150.053520,150.664000,0.610480,1.694263
54,150.925258,150.664000,0.261258,1.695743
55,153.024694,150.664000,2.360694,1.717647
56,156.112909,150.664000,5.448909,1.737572
