n,t_n,nearest_minimum_t,delta_n,delta_n_null
1,14.134725,14.288000,0.153275,0.430006
2,21.022040,21.736000,0.713960,0.430308
3,25.010858,24.936000,0.074858,0.433739
4,30.424876,29.824000,0.600876,0.425668
5,32.935062,32.896000,0.039062,0.431706
6,37.586178,37.536000,0.050178,0.413698
7,40.918719,41.152000,0.233281,0.420805
8,43.327073,43.600000,0.272927,0.415389
9,48.005151,47.544000,0.461151,0.429812
10,49.773832,49.656000,0.117832,0.434228
11,52.970321,52.656000,0.314321,0.461700
12,56.446248,56.600000,0.153752,0.434718
13,59.347044,59.144000,0.203044,0.430897
14,60.831779,60.848000,0.016221,0.411461
15,65.112544,65.392000,0.279456,0.426471
16,67.079811,67.440000,0.360189,0.437637
17,69.546402,69.784000,0.237598,0.426062
18,72.067158,71.440000,0.627158,0.424953
19,75.704691,75.976000,0.271309,0.404404
20,77.144840,77.240000,0.095160,0.445508
21,79.337375,78.848000,0.489375,0.437606
22,82.910381,82.304000,0.606381,0.429817
23,84.735493,84.432000,0.303493,0.430820
24,87.425275,86.928000,0.497275,0.420542
25,88.809111,88.864000,0.054889,0.426595
26,92.491899,92.496000,0.004101,0.403302
27,94.651344,95.352000,0.700656,0.437912
28,95.870634,95.656000,0.214634,0.431754
29,98.831194,98.616000,0.215194,0.441987
30,101.317851,101.520000,0.202149,0.448795
31,103.725538,103.528000,0.197538,0.445786
32,105.446623,105.072000,0.374623,0.444937
33,107.168611,107.280000,0.111389,0.433234
34,111.029536,110.896000,0.133536,0.417347
35,111.874659,112.496000,0.621341,0.434270
36,114.320221,114.152000,0.168221,0.414305
37,116.226680,116.640000,0.413320,0.410889
38,118.790783,119.512000,0.721217,0.426907
39,121.370125,120.112000,1.258125,0.410822
40,122.946829,123.032000,0.085171,0.406149
41,124.256819,124.168000,0.088819,0.428527
42,127.516684,127.624000,0.107316,0.433109
43,129.578704,129.184000,0.394704,0.432163
44,131.087689,131.464000,0.376311,0.425389
45,133.497737,133.800000,0.302263,0.412906
46,134.756510,134.800000,0.043490,0.439139
47,138.116042,137.664000,0.452042,0.452635
48,139.736209,140.112000,0.375791,0.431425
49,141.123707,141.536000,0.412293,0.432658
50,143.111846,143.448000,0.336154,0.421044
51,146.000982,146.080000,0.079018,0.414124
52,147.422765,147.368000,0.054765,0.427962
53,150.053520,150.208000,0.154480,0.441950
54,150.925258,150.776000,0.149258,0.427502
55,153.024694,152.928000,0.096694,0.420275
56,156.112909,155.984000,0.128909,0.432670
57,157.597592,158.736000,1.138408,0.419571
58,158.849988,158.736000,0.113988,0.407161
59,161.188964,161.192000,0.003036,0.451662
60,163.030710,163.232000,0.201290,0.456007
61,165.537069,165.320000,0.217069,0.428261
62,167.184440,168.304000,1.119560,0.416665
63,169.094515,168.832000,0.262515,0.416577
64,169.911976,169.760000,0.151976,0.433225
65,173.411537,173.736000,0.324463,0.419872
66,174.754192,173.736000,1.018192,0.431306
67,176.441434,176.728000,0.286566,0.423721
68,178.377408,178.728000,0.350592,0.435706
69,179.916484,179.584000,0.332484,0.434238
70,182.207078,181.688000,0.519078,0.435255
71,184.874468,185.976000,1.101532,0.424803
72,185.598784,185.976000,0.377216,0.428197
73,187.228923,187.384000,0.155077,0.433239
74,189.416159,190.096000,0.679841,0.419277
75,192.026656,191.736000,0.290656,0.429864
76,193.079727,194.040000,0.960273,0.432307
77,195.265397,195.584000,0.318603,0.453984
78,196.876482,197.104000,0.227518,0.436663
79,198.015310,197.992000,0.023310,0.419769
80,201.264752,201.088000,0.176752,0.427840
81,202.493595,202.504000,0.010405,0.420059
82,204.189672,204.656000,0.466328,0.418847
83,205.394697,205.424000,0.029303,0.427773
84,207.906259,207.816000,0.090259,0.441583
85,209.576510,210.408000,0.831490,0.439050
86,211.690863,210.408000,1.282863,0.439565
87,213.347919,213.368000,0.020081,0.447022
88,214.547045,214.176000,0.371045,0.439443
89,216.169539,215.760000,0.409539,0.454517
90,219.067596,219.000000,0.067596,0.423865
91,220.714919,220.712000,0.002919,0.428505
92,221.430706,220.712000,0.718706,0.428153
93,224.007000,224.216000,0.209000,0.450658
94,224.983325,224.216000,0.767325,0.418970
95,227.421444,227.320000,0.101444,0.426341
96,229.337413,229.024000,0.313413,0.429407
97,231.250189,231.104000,0.146189,0.437036
98,231.987235,232.256000,0.268765,0.448645
99,233.693404,233.480000,0.213404,0.451073
100,236.524230,236.576000,0.051770,0.402516
101,237.769820,237.896000,0.126180,0.422404
102,239.555478,237.896000,1.659478,0.431545
103,241.049158,241.296000,0.246842,0.425527
104,242.823272,242.656000,0.167272,0.434718
105,244.070898,244.096000,0.025102,0.437545
106,247.136990,246.544000,0.592990,0.430102
107,248.101990,248.800000,0.698010,0.447501
108,249.573690,249.168000,0.405690,0.418586
109,251.014948,251.912000,0.897052,0.432304
110,253.069987,253.248000,0.178013,0.432038
111,255.306256,255.368000,0.061744,0.426040
112,256.380714,256.256000,0.124714,0.423823
113,258.610439,258.808000,0.197561,0.406027
114,259.874407,260.312000,0.437593,0.436936
115,260.805085,260.312000,0.493085,0.431168
116,263.573894,263.888000,0.314106,0.419709
117,265.557852,265.696000,0.138148,0.424877
118,266.614974,265.696000,0.918974,0.441205
119,267.921915,268.128000,0.206085,0.450292
120,269.970449,270.008000,0.037551,0.432801
121,271.494056,270.632000,0.862056,0.447743
122,273.459609,273.160000,0.299609,0.426228
123,275.587493,276.368000,0.780507,0.418678
124,276.452050,276.368000,0.084050,0.414511
125,278.250744,277.832000,0.418744,0.430809
126,279.229251,279.472000,0.242749,0.447365
127,282.465115,282.688000,0.222885,0.433152
128,283.211186,283.168000,0.043186,0.429076
129,284.835964,285.232000,0.396036,0.455068
130,286.667445,287.080000,0.412555,0.430286
131,287.911921,288.224000,0.312079,0.421749
132,289.579855,288.728000,0.851855,0.408165
133,291.846291,292.120000,0.273709,0.436776
134,293.558434,293.576000,0.017566,0.424999
135,294.965370,295.104000,0.138630,0.415309
136,295.573255,295.544000,0.029255,0.414386
137,297.979277,297.864000,0.115277,0.428723
138,299.840326,299.952000,0.111674,0.438240
139,301.649325,302.192000,0.542675,0.450258
140,302.696750,302.632000,0.064750,0.429866
141,304.864371,304.832000,0.032371,0.440341
142,305.728913,305.824000,0.095087,0.440129
143,307.219496,307.296000,0.076504,0.430783
144,310.109463,310.216000,0.106537,0.432186
145,311.165142,311.280000,0.114858,0.435744
146,312.427801,312.328000,0.099801,0.441708
147,313.985286,314.040000,0.054714,0.434126
148,315.475616,315.696000,0.220384,0.436082
149,317.734806,318.000000,0.265194,0.422511
150,318.853104,319.192000,0.338896,0.443284
151,321.160134,321.664000,0.503866,0.438048
152,322.144559,322.176000,0.031441,0.443065
153,323.466970,324.120000,0.653030,0.439226
154,324.862866,324.688000,0.174866,0.446239
155,327.443901,327.640000,0.196099,0.465506
156,329.033072,330.232000,1.198928,0.471003
157,329.953240,330.232000,0.278760,0.446946
158,331.474468,331.584000,0.109532,0.424916
159,333.645379,333.712000,0.066621,0.431838
160,334.211355,333.712000,0.499355,0.448458
161,336.841850,336.224000,0.617850,0.418335
162,338.339993,338.664000,0.324007,0.411810
163,339.858217,340.320000,0.461783,0.414563
164,341.042261,341.184000,0.141739,0.431644
165,342.054878,342.120000,0.065122,0.448724
166,344.661703,344.600000,0.061703,0.437357
167,346.347871,346.224000,0.123871,0.410337
168,347.272678,347.040000,0.232678,0.435954
169,349.316261,349.248000,0.068261,0.419692
170,350.408419,349.248000,1.160419,0.428742
171,351.878649,351.960000,0.081351,0.446344
172,353.488900,353.200000,0.288900,0.413109
173,356.017575,355.432000,0.585575,0.423904
174,357.151302,357.496000,0.344698,0.400922
175,357.952685,358.008000,0.055315,0.410070
176,359.743755,360.376000,0.632245,0.434509
177,361.289362,361.656000,0.366638,0.424017
178,363.331331,363.696000,0.364669,0.443680
179,364.736024,364.784000,0.047976,0.424313
180,366.212710,366.144000,0.068710,0.432708
181,367.993575,367.832000,0.161575,0.431871
182,368.968438,368.544000,0.424438,0.427500
183,370.050919,369.840000,0.210919,0.434659
184,373.061928,372.760000,0.301928,0.446214
185,373.864874,374.320000,0.455126,0.461446
186,375.825913,376.592000,0.766087,0.413472
187,376.324092,376.592000,0.267908,0.425216
188,378.436680,378.768000,0.331320,0.433333
189,379.872975,379.648000,0.224975,0.417750
190,381.484469,381.776000,0.291531,0.430471
191,383.443529,382.840000,0.603529,0.435044
192,384.956117,385.016000,0.059883,0.429892
193,385.861301,385.776000,0.085301,0.431971
