n,t_n,nearest_minimum_t,delta_n,delta_n_null
1,14.134725,13.928000,0.206725,0.514434
2,21.022040,20.440000,0.582040,0.496890
3,25.010858,25.192000,0.181142,0.524743
4,30.424876,30.440000,0.015124,0.521823
5,32.935062,32.800000,0.135062,0.539486
6,37.586178,38.096000,0.509822,0.521706
7,40.918719,40.872000,0.046719,0.542828
8,43.327073,42.784000,0.543073,0.526781
9,48.005151,47.816000,0.189151,0.517617
10,49.773832,49.912000,0.138168,0.535442
11,52.970321,51.336000,1.634321,0.547715
12,56.446248,56.224000,0.222248,0.512698
13,59.347044,59.304000,0.043044,0.531157
14,60.831779,61.096000,0.264221,0.533216
15,65.112544,65.824000,0.711456,0.527360
16,67.079811,67.000000,0.079811,0.542765
17,69.546402,69.736000,0.189598,0.504660
18,72.067158,71.440000,0.627158,0.519671
19,75.704691,75.560000,0.144691,0.483499
20,77.144840,77.480000,0.335160,0.545980
21,79.337375,78.800000,0.537375,0.532580
22,82.910381,82.592000,0.318381,0.534697
23,84.735493,83.712000,1.023493,0.541357
24,87.425275,87.536000,0.110725,0.514576
25,88.809111,88.112000,0.697111,0.531560
26,92.491899,92.168000,0.323899,0.518765
27,94.651344,94.848000,0.196656,0.520779
28,95.870634,95.840000,0.030634,0.530273
29,98.831194,98.656000,0.175194,0.531632
30,101.317851,101.264000,0.053851,0.548508
31,103.725538,104.040000,0.314462,0.538063
32,105.446623,105.384000,0.062623,0.519581
33,107.168611,105.928000,1.240611,0.504402
34,111.029536,110.872000,0.157536,0.531522
35,111.874659,111.488000,0.386659,0.536546
36,114.320221,115.088000,0.767779,0.492781
37,116.226680,116.160000,0.066680,0.498629
38,118.790783,119.128000,0.337217,0.506917
39,121.370125,121.144000,0.226125,0.506658
40,122.946829,122.920000,0.026829,0.507917
41,124.256819,124.072000,0.184819,0.541314
42,127.516684,128.800000,1.283316,0.538421
43,129.578704,129.512000,0.066704,0.537817
44,131.087689,131.064000,0.023689,0.519506
45,133.497737,133.920000,0.422263,0.495982
46,134.756510,133.920000,0.836510,0.527062
47,138.116042,137.800000,0.316042,0.554492
48,139.736209,139.656000,0.080209,0.529502
49,141.123707,141.376000,0.252293,0.537326
50,143.111846,144.424000,1.312154,0.503231
51,146.000982,146.480000,0.479018,0.515729
52,147.422765,147.544000,0.121235,0.516455
53,150.053520,149.592000,0.461520,0.536009
54,150.925258,150.808000,0.117258,0.530721
55,153.024694,154.424000,1.399306,0.505596
56,156.112909,155.800000,0.312909,0.537579
57,157.597592,157.176000,0.421592,0.492005
58,158.849988,158.376000,0.473988,0.473913
59,161.188964,161.400000,0.211036,0.541195
60,163.030710,163.408000,0.377290,0.550989
61,165.537069,164.624000,0.913069,0.502852
62,167.184440,167.056000,0.128440,0.515721
63,169.094515,169.496000,0.401485,0.552681
64,169.911976,169.496000,0.415976,0.551568
65,173.411537,173.344000,0.067537,0.521215
66,174.754192,173.688000,1.066192,0.552505
67,176.441434,176.424000,0.017434,0.519340
68,178.377408,178.512000,0.134592,0.539279
69,179.916484,179.912000,0.004484,0.532300
70,182.207078,183.400000,1.192922,0.516616
71,184.874468,184.936000,0.061532,0.523995
72,185.598784,185.560000,0.038784,0.539042
73,187.228923,187.224000,0.004923,0.520789
74,189.416159,189.312000,0.104159,0.530908
75,192.026656,191.848000,0.178656,0.525375
76,193.079727,192.472000,0.607727,0.523805
77,195.265397,195.160000,0.105397,0.531655
78,196.876482,195.160000,1.716482,0.525893
79,198.015310,199.632000,1.616690,0.534335
80,201.264752,202.192000,0.927248,0.525204
81,202.493595,202.192000,0.301595,0.524821
82,204.189672,204.392000,0.202328,0.524863
83,205.394697,204.928000,0.466697,0.527863
84,207.906259,208.176000,0.269741,0.541427
85,209.576510,209.384000,0.192510,0.517680
86,211.690863,212.608000,0.917137,0.551277
87,213.347919,213.728000,0.380081,0.543475
88,214.547045,214.904000,0.356955,0.526345
89,216.169539,215.496000,0.673539,0.534568
