n,t_n,nearest_minimum_t,delta_n,delta_n_null
1,14.134725,14.520000,0.385275,0.441934
2,21.022040,21.768000,0.745960,0.435719
3,25.010858,25.344000,0.333142,0.436134
4,30.424876,30.992000,0.567124,0.427608
5,32.935062,32.552000,0.383062,0.446812
6,37.586178,37.896000,0.309822,0.437543
7,40.918719,41.672000,0.753281,0.437368
8,43.327073,43.248000,0.079073,0.437906
9,48.005151,47.424000,0.581151,0.432250
10,49.773832,49.840000,0.066168,0.449110
11,52.970321,52.992000,0.021679,0.459331
12,56.446248,56.800000,0.353752,0.419852
13,59.347044,58.944000,0.403044,0.439792
14,60.831779,61.216000,0.384221,0.444803
15,65.112544,64.856000,0.256544,0.461123
16,67.079811,67.616000,0.536189,0.448329
17,69.546402,69.800000,0.253598,0.424378
18,72.067158,72.152000,0.084842,0.433939
19,75.704691,76.144000,0.439309,0.409238
20,77.144840,77.576000,0.431160,0.447630
21,79.337375,80.016000,0.678625,0.453335
22,82.910381,82.480000,0.430381,0.430211
23,84.735493,83.512000,1.223493,0.437181
24,87.425275,87.016000,0.409275,0.425941
25,88.809111,88.008000,0.801111,0.435957
26,92.491899,92.296000,0.195899,0.440419
27,94.651344,94.664000,0.012656,0.450732
28,95.870634,96.072000,0.201366,0.441844
29,98.831194,98.112000,0.719194,0.440422
30,101.317851,101.080000,0.237851,0.451122
31,103.725538,103.944000,0.218462,0.440185
32,105.446623,105.696000,0.249377,0.440897
33,107.168611,107.432000,0.263389,0.440473
34,111.029536,111.320000,0.290464,0.443676
35,111.874659,111.704000,0.170659,0.446856
36,114.320221,113.888000,0.432221,0.414287
37,116.226680,116.016000,0.210680,0.421401
38,118.790783,118.528000,0.262783,0.437759
39,121.370125,122.080000,0.709875,0.423216
40,122.946829,123.144000,0.197171,0.437797
41,124.256819,124.408000,0.151181,0.461506
42,127.516684,127.264000,0.252684,0.439573
43,129.578704,128.776000,0.802704,0.450207
44,131.087689,131.168000,0.080311,0.429073
45,133.497737,133.728000,0.230263,0.428911
