eps,tau,mean_corr,std_corr,min_corr,max_corr,stability_diff,differentiated,stable,criterion_C
0.025,0,0.9999999973126782,3.3738461267364427e-09,0.9999999763771088,0.9999999999867861,5.374643730071682e-09,False,True,0.0
0.025,1,0.9987568745291563,0.001247587052237826,0.9923937466246794,0.9999961662249452,0.002486244752639588,False,True,0.0
0.025,2,-0.034476848831554906,0.4848862143734704,-0.9902116026421351,0.9843785032956808,1.1810856716913676e-05,True,True,0.4848862143734704
0.025,3,-0.034482758580648566,0.4848883568503323,-0.9901594390275799,0.9843703991045043,8.008205903964338e-11,True,True,0.4848883568503323
0.025,4,-0.03448275861952685,0.48488565977385334,-0.9901634352597469,0.9843690235695076,2.3255633530006037e-12,True,True,0.48488565977385334
0.025,5,-0.0344827585840235,0.4848825313855149,-0.9901698530571571,0.9843694356230068,7.333245816143474e-11,True,True,0.4848825313855149
0.025,7,0.9998354749215397,0.00026340704486836435,0.9977635568317692,0.9999993441676293,0.0003290501510553323,False,True,0.0
0.025,10,0.9999999958095426,1.0634759046622892e-08,0.9999999476069402,0.9999999999867667,8.380914739980483e-09,False,True,0.0
0.025,20,0.9999999947419396,1.2815264183095723e-08,0.9999999309395495,0.9999999999858034,1.0516120863002243e-08,False,True,0.0
0.025,50,0.9999999698019483,4.5662086937331566e-08,0.9999996113378644,0.9999999998891523,6.039610356278757e-08,False,True,0.0
0.05,0,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.05,1,0.999999992915255,6.962272092212075e-09,0.9999999657940322,0.9999999999685187,1.4169489914728217e-08,False,True,0.0
0.05,2,-0.034482670485122935,0.484883166451261,-0.9901509925792248,0.9843748708617874,1.7627066058178986e-07,True,True,0.484883166451261
0.05,3,-0.03448275862068896,0.4848857522520745,-0.9901532070002513,0.984366647913201,2.0816681711721685e-17,True,True,0.4848857522520745
0.05,4,-0.034482758620689315,0.4848802616179739,-0.9901612536625236,0.9843634970767525,0.0,True,True,0.4848802616179739
0.05,5,-0.03448275862068964,0.4848747367693578,-0.9901743404723937,0.9843653349246324,5.551115123125783e-17,True,True,0.4848747367693578
0.05,7,0.9999999999994109,5.57554092030766e-13,0.9999999999966318,0.9999999999999989,1.1781686737322161e-12,False,True,0.0
0.05,10,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.05,20,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.05,50,1.0,9.887241653868909e-17,0.9999999999999994,1.0,0.0,False,True,0.0
0.1,0,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.1,1,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.1,2,-0.03448271609070126,0.4848616648761971,-0.9901298047114785,0.9843910969523972,8.505988739748727e-08,True,True,0.4848616648761971
0.1,3,-0.034482758620690265,0.4848770984939234,-0.9901354851001494,0.984357197628409,1.0408340855860843e-16,True,True,0.4848770984939234
0.1,4,-0.034482758620690286,0.4848659480009896,-0.9901539078045374,0.9843493510641114,6.938893903907228e-18,True,True,0.4848659480009896
0.1,5,-0.034482758620690404,0.4848600140225073,-0.990182741750123,0.9843601455679833,1.3877787807814457e-17,True,True,0.4848600140225073
0.1,7,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.1,10,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.1,20,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.1,50,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.2,0,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.2,1,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.2,2,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.2,3,-0.03448275862068991,0.48484284960660295,-0.9900625040734535,0.9843490677705901,2.0816681711721685e-16,True,True,0.48484284960660295
0.2,4,-0.03448275862068946,0.4848229352462524,-0.9901082217896435,0.9843119124145538,2.7755575615628914e-17,True,True,0.4848229352462524
0.2,5,0.9999999999999625,2.8868035687322177e-14,0.9999999999998502,0.9999999999999999,7.505107646466058e-14,False,True,0.0
0.2,7,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.2,10,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.2,20,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.2,50,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.4,0,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.4,1,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.4,2,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.4,3,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.4,4,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.4,5,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.4,7,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.4,10,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.4,20,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.4,50,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.6,0,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.6,1,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.6,2,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.6,3,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.6,4,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.6,5,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.6,7,1.0,0.0,1.0,1.0,0.0,False,True,0.0
0.6,10,1.0,0.0,1.0,1.0,0.0,False,True,0.0
