d,rank,t_value
3,1,165.710000
3,2,456.220000
3,3,354.460000
3,4,306.920000
3,5,134.860000
3,6,472.370000
3,7,945.710000
3,8,813.490000
3,9,699.060000
3,10,503.410000
3,11,868.430000
3,12,15.990000
3,13,412.710000
3,14,130.440000
3,15,12.070000
3,16,431.980000
3,17,909.070000
3,18,519.820000
3,19,360.240000
3,20,848.540000
3,21,588.220000
3,22,67.630000
3,23,220.010000
3,24,179.450000
3,25,516.220000
3,26,821.460000
3,27,125.180000
3,28,778.140000
3,29,602.910000
3,30,417.330000
3,31,389.350000
3,32,884.560000
3,33,732.890000
3,34,574.120000
3,35,662.490000
3,36,481.290000
3,37,261.930000
3,38,544.510000
3,39,248.720000
3,40,972.400000
3,41,235.660000
3,42,969.100000
3,43,122.520000
3,44,724.870000
3,45,745.010000
3,46,876.510000
3,47,794.450000
3,48,981.470000
3,49,934.260000
3,50,320.910000
3,51,826.840000
3,52,680.520000
3,53,313.620000
3,54,309.940000
3,55,960.120000
3,56,782.510000
3,57,720.090000
3,58,757.600000
3,59,889.720000
3,60,705.090000
3,61,647.650000
3,62,207.970000
3,63,60.440000
3,64,187.730000
3,65,607.950000
3,66,333.890000
3,67,331.490000
3,68,398.770000
3,69,563.980000
3,70,200.390000
3,71,951.520000
3,72,988.940000
3,73,753.200000
3,74,269.320000
3,75,862.360000
3,76,468.070000
3,77,56.260000
3,78,788.120000
3,79,547.770000
3,80,894.490000
3,81,46.010000
3,82,41.820000
3,83,381.870000
3,84,32.390000
3,85,276.830000
3,86,75.210000
3,87,932.170000
3,88,85.940000
3,89,643.350000
3,90,283.610000
3,91,692.660000
3,92,70.500000
3,93,540.770000
3,94,371.890000
3,95,210.360000
3,96,410.030000
3,97,271.660000
3,98,39.350000
3,99,374.070000
3,100,27.110000
5,1,544.510000
5,2,165.710000
5,3,531.640000
5,4,588.220000
5,5,487.800000
5,6,547.780000
5,7,912.250000
5,8,417.330000
5,9,248.300000
5,10,849.210000
5,11,431.970000
5,12,782.510000
5,13,767.700000
5,14,756.770000
5,15,788.860000
5,16,179.430000
5,17,564.220000
5,18,259.870000
5,19,93.510000
5,20,815.030000
5,21,745.020000
5,22,699.060000
5,23,15.960000
5,24,67.630000
5,25,628.770000
5,26,172.930000
5,27,804.530000
5,28,134.860000
5,29,987.280000
5,30,144.390000
5,31,862.380000
5,32,516.220000
5,33,732.890000
5,34,724.870000
5,35,306.920000
5,36,313.610000
5,37,843.680000
5,38,132.420000
5,39,503.410000
5,40,27.030000
5,41,297.100000
5,42,558.470000
5,43,606.470000
5,44,894.460000
5,45,705.050000
5,46,551.750000
5,47,945.580000
5,48,200.390000
5,49,917.440000
5,50,960.340000
5,51,574.530000
5,52,437.970000
5,53,380.110000
5,54,243.000000
5,55,856.000000
5,56,715.880000
5,57,410.040000
5,58,753.200000
5,59,41.840000
5,60,39.340000
5,61,85.940000
5,62,36.650000
5,63,884.560000
5,64,262.030000
5,65,293.900000
5,66,427.250000
5,67,354.460000
5,68,972.410000
5,69,451.520000
5,70,320.950000
5,71,373.030000
5,72,981.470000
5,73,150.450000
5,74,75.070000
5,75,690.490000
5,76,335.110000
5,77,218.190000
5,78,598.150000
5,79,897.160000
5,80,331.490000
5,81,12.100000
5,82,58.030000
5,83,609.930000
5,84,662.490000
5,85,310.530000
5,86,211.870000
5,87,29.660000
5,88,45.950000
5,89,350.820000
5,90,60.480000
5,91,471.220000
5,92,239.110000
5,93,375.520000
5,94,576.620000
5,95,956.070000
5,96,279.660000
5,97,70.510000
5,98,825.140000
5,99,868.450000
5,100,447.560000
7,1,431.970000
7,2,165.710000
7,3,243.770000
7,4,851.330000
7,5,163.690000
7,6,598.070000
7,7,601.560000
7,8,45.960000
7,9,417.330000
7,10,187.850000
7,11,313.610000
7,12,503.420000
7,13,634.720000
7,14,67.630000
7,15,917.500000
7,16,724.870000
7,17,181.710000
7,18,588.220000
7,19,391.010000
7,20,862.360000
7,21,969.970000
7,22,499.490000
7,23,960.340000
7,24,964.920000
7,25,643.690000
7,26,317.220000
7,27,803.420000
7,28,732.910000
7,29,729.030000
7,30,782.510000
7,31,122.510000
7,32,630.090000
7,33,557.040000
7,34,544.510000
7,35,85.940000
7,36,975.310000
7,37,945.540000
7,38,749.120000
7,39,699.060000
7,40,70.510000
7,41,134.860000
7,42,226.770000
7,43,848.540000
7,44,341.490000
7,45,696.600000
7,46,815.260000
7,47,753.200000
7,48,468.160000
7,49,450.030000
7,50,179.430000
7,51,745.020000
7,52,897.160000
7,53,280.120000
7,54,516.230000
7,55,32.430000
7,56,306.920000
7,57,95.080000
7,58,335.110000
7,59,830.220000
7,60,705.110000
7,61,374.060000
7,62,320.220000
7,63,886.020000
7,64,672.390000
7,65,376.820000
7,66,894.490000
7,67,853.450000
7,68,760.630000
7,69,680.730000
7,70,529.250000
7,71,936.390000
7,72,208.390000
7,73,212.900000
7,74,368.450000
7,75,381.860000
7,76,622.670000
7,77,248.760000
7,78,809.460000
7,79,773.540000
7,80,12.220000
7,81,350.820000
7,82,437.980000
7,83,692.470000
7,84,260.850000
7,85,130.520000
7,86,972.410000
7,87,902.630000
7,88,877.700000
7,89,951.180000
7,90,76.900000
7,91,491.950000
7,92,36.600000
7,93,981.470000
7,94,331.490000
7,95,275.790000
7,96,200.390000
7,97,236.420000
7,98,309.830000
7,99,354.460000
7,100,471.390000
13,1,45.970000
13,2,165.710000
13,3,724.870000
13,4,335.100000
13,5,176.420000
13,6,809.440000
13,7,70.590000
13,8,222.940000
13,9,67.630000
13,10,753.200000
13,11,387.720000
13,12,904.830000
13,13,894.480000
13,14,987.550000
13,15,130.690000
13,16,41.950000
13,17,431.970000
13,18,508.070000
13,19,327.580000
13,20,848.550000
13,21,628.800000
13,22,673.720000
13,23,516.230000
13,24,732.490000
13,25,956.220000
13,26,960.340000
13,27,828.640000
13,28,719.350000
13,29,36.640000
13,30,588.200000
13,31,378.720000
13,32,862.370000
13,33,896.780000
13,34,972.280000
13,35,815.130000
13,36,637.440000
13,37,540.880000
13,38,85.980000
13,39,149.390000
13,40,788.130000
13,41,886.760000
13,42,705.100000
13,43,745.030000
13,44,122.490000
13,45,163.680000
13,46,472.350000
13,47,518.920000
13,48,417.330000
13,49,451.500000
13,50,179.440000
13,51,683.770000
13,52,108.050000
13,53,606.110000
13,54,547.790000
13,55,696.800000
13,56,381.860000
13,57,505.240000
13,58,12.210000
13,59,951.530000
13,60,134.860000
13,61,259.860000
13,62,197.630000
13,63,570.560000
13,64,699.060000
13,65,940.960000
13,66,480.850000
13,67,544.520000
13,68,402.620000
13,69,350.850000
13,70,75.180000
13,71,306.920000
13,72,293.880000
13,73,643.360000
13,74,901.880000
13,75,181.730000
13,76,774.760000
13,77,782.510000
13,78,715.290000
13,79,526.710000
13,80,445.030000
13,81,313.610000
13,82,2.680000
13,83,352.960000
13,84,331.520000
13,85,412.770000
13,86,310.520000
13,87,156.400000
13,88,591.780000
13,89,211.880000
13,90,80.540000
13,91,859.870000
13,92,653.410000
13,93,203.390000
13,94,374.030000
13,95,27.090000
