n,g_n
1,17.8455995404
2,23.1702827012
3,27.6701822178
4,31.7179799548
5,35.4671842971
6,38.9992099640
7,42.3635503921
8,45.5930289815
9,48.7107766218
10,51.7338428133
11,54.6752374469
12,57.5451651795
13,60.3518119691
14,63.1018679824
15,65.8008876381
16,68.4535449175
17,71.0638190103
18,73.6351322586
19,76.1704546111
20,78.6723840433
21,81.1432093918
22,83.5849600997
23,85.9994460667
24,88.3882899164
25,90.7529533775
26,93.0947590439
27,95.4149084705
28,97.7144973327
29,99.9945282143
30,102.2559214641
31,104.4995244664
32,106.7261196012
33,108.9364311145
34,111.1311310761
35,113.3108445694
36,115.4761542318
37,117.6276042413
38,119.7657038321
39,121.8909304039
40,124.0037322819
41,126.1045311743
42,128.1937243676
43,130.2716866919
44,132.3387722867
45,134.3953161903
46,136.4416357747
47,138.4780320435
48,140.5047908089
49,142.5221837614
50,144.5304694434
51,146.5298941380
52,148.5206926810
53,150.5030892045
54,152.4772978195
55,154.4435232423
56,156.4019613718
57,158.3527998210
58,160.2962184081
59,162.2323896103
60,164.1614789837
61,166.0836455531
62,167.9990421732
63,169.9078158646
64,171.8101081263
65,173.7060552274
66,175.5957884778
67,177.4794344823
68,179.3571153776
69,181.2289490538
70,183.0950493621
71,184.9555263094
72,186.8104862411
73,188.6600320123
74,190.5042631496
75,192.3432760022
76,194.1771638851
77,196.0060172137
78,197.8299236308
79,199.6489681261
80,201.4632331499
81,203.2727987196
82,205.0777425216
83,206.8781400064
84,208.6740644798
85,210.4655871887
86,212.2527774030
87,214.0357024930
88,215.8144280025
89,217.5890177195
90,219.3595337420
91,221.1260365415
92,222.8885850233
93,224.6472365836
94,226.4020471643
95,228.1530713051
96,229.9003621931
97,231.6439717103
98,233.3839504791
99,235.1203479049
100,236.8532122185
101,238.5825905145
102,240.3085287902
103,242.0310719811
104,243.7502639959
105,245.4661477495
106,247.1787651954
107,248.8881573552
108,250.5943643491
109,252.2974254230
110,253.9973789760
111,255.6942625862
112,257.3881130355
113,259.0789663334
114,260.7668577405
115,262.4518217898
116,264.1338923086
117,265.8131024389
118,267.4894846566
119,269.1630707910
120,270.8338920430
121,272.5019790023
122,274.1673616650
123,275.8300694494
124,277.4901312119
125,279.1475752627
126,280.8024293797
127,282.4547208235
128,284.1044763503
129,285.7517222259
130,287.3964842379
131,289.0387877082
132,290.6786575053
133,292.3161180552
134,293.9511933532
135,295.5839069742
136,297.2142820835
137,298.8423414467
138,300.4681074396
139,302.0916020578
140,303.7128469255
141,305.3318633048
142,306.9486721042
143,308.5632938870
144,310.1757488790
145,311.7860569771
146,313.3942377564
147,315.0003104776
148,316.6042940944
149,318.2062072602
150,319.8060683354
151,321.4038953931
152,322.9997062263
153,324.5935183535
154,326.1853490252
155,327.7752152293
