seed,n_targets,n_matched,signal_mean,null_mean,null_std,z,effect_size
20260530,2792,2710,0.31142960820308585,0.4229481426841397,0.007898076280405793,-14.119708460871461,0.26366952168965213
20260531,2792,2702,0.3127643596891999,0.4227457860844838,0.008073349615302573,-13.622775134972526,0.2601597224988178
20260601,2792,2711,0.3075323472549658,0.4231151414451499,0.00811384577908316,-14.245130772407235,0.27317101863906595
20260602,2792,2708,0.3114043789379169,0.4228272677106216,0.008029633322025269,-13.876460394159215,0.26351869257628235
20260603,2792,2692,0.31392658987261307,0.42304216290603325,0.007888361873301173,-13.832475586944236,0.2579307279536037
20260604,2792,2697,0.31241107966272863,0.4229405644900244,0.00799535786560134,-13.824207331960706,0.261335738652949
20260605,2792,2701,0.3150345937623058,0.42298943245376547,0.008173385675028932,-13.208093069837615,0.25521876058513493
20260606,2792,2698,0.3131593196008926,0.42304350964123616,0.007895810923083528,-13.91677069154422,0.2597467814446115
20260607,2792,2708,0.308282402419597,0.4226748110702432,0.00810813470462031,-14.108350788185753,0.27063928498837286
20260608,2792,2704,0.31313774985955706,0.42310008193166543,0.00808123623104094,-13.607117639963382,0.25989674019932785
