n,t_n
1,3.1193414763
2,7.2315907374
3,8.6254266337
4,10.3364207283
5,12.6170127884
6,15.1483324185
7,16.2748260602
8,18.7512523606
9,19.5480414405
10,20.9591819212
11,23.5920278832
12,25.3717044100
13,26.3843135223
14,27.6498084262
15,29.3914560303
16,31.0187420920
17,32.4234172866
18,34.4664423391
19,35.7631930336
20,36.7275470510
21,38.3853254750
22,39.0367847189
23,41.9527284190
24,42.7882615075
25,43.9883084998
26,45.3269818887
27,47.0255925104
28,47.7665247127
29,49.3011955634
30,51.1227199510
31,52.5473852471
32,53.9818300828
33,54.8720854923
34,55.4927736923
35,57.5404049650
36,58.8834000990
37,60.5316141859
38,61.5234397724
39,62.7227024421
40,64.1843787625
41,65.3745473221
42,66.1201231971
43,67.5329672739
44,69.8624705419
45,70.7534126863
46,71.4555775359
47,72.9150636628
48,73.9584461525
49,75.1309817806
50,76.7972736791
51,78.1253478453
52,78.9498189583
53,81.0136838809
54,81.4489169344
55,82.8743482605
56,83.5599220201
57,84.8547328785
58,86.8352371588
59,87.9421314970
60,89.3830714449
61,89.7449849293
62,91.0183848485
63,92.6267785296
64,93.7533550516
65,94.2662811503
66,96.3954944834
67,97.4305782273
68,98.6890391901
69,99.7673339918
70,100.6443550512
71,101.5365786031
72,102.7561350629
73,104.7321000889
74,105.7508436009
75,106.6583126679
76,107.6565633968
77,109.3824669436
78,109.8706535265
79,111.0211829081
80,112.3767219290
81,113.2283699080
82,115.2436681256
83,116.3619851604
84,117.0269355580
85,117.9563423857
86,119.0164068654
87,120.3604186282
88,121.4514129117
89,122.9393210754
90,123.9574991688
91,125.2156381324
92,125.9952106491
93,127.5557582185
94,128.4118609086
95,129.1483359411
96,129.9690428689
97,132.1879395977
98,133.2417361304
99,134.0078710482
100,135.3406624600
101,136.0157263145
102,136.9817245170
103,138.6627372727
104,139.1912117794
105,140.8007910863
106,141.6571337089
107,143.1293264970
108,144.5216928378
109,144.9431144372
110,145.9249974146
111,147.0930019870
112,147.9985296711
113,149.4096450284
114,151.2815555707
115,151.8488455668
116,152.4637186304
117,153.7513601854
118,155.1494551435
119,155.9088056728
120,156.9175124571
121,157.8256803915
122,159.4016672209
123,160.7158873662
124,161.6588352367
125,162.7099121794
126,163.5226955757
127,164.5472428426
128,165.0889357314
129,167.1033564374
130,168.0073414490
131,169.0037873372
132,170.2915792748
133,171.1172438011
134,172.2806043789
135,173.2429608390
136,174.3390317753
137,175.0688815638
138,175.9853119180
139,177.9436365023
140,179.0292201534
141,179.8100871667
142,180.8397167638
143,181.2424039021
144,182.9470334724
145,183.7230380252
146,184.6738202080
147,186.1937625751
148,187.3932135537
149,187.8139460579
150,189.5145982429
151,190.4913464531
152,191.3215816960
153,191.7903823450
154,193.0903956965
155,194.1673867032
156,196.0274295077
157,196.6265633330
158,197.7004630223
159,198.6963752225
160,199.3840777621
161,200.5832924291
162,201.7720153049
163,202.7689104274
164,203.4148427203
165,204.8339938954
166,206.4981577292
167,207.0932070151
168,207.8131809458
169,209.2527442858
170,209.7296813801
171,210.6088074729
