n,t_n
1,6.6484433651
2,9.8314693928
3,11.9588354588
4,16.0337245464
5,17.5669191837
6,19.5406481266
7,22.2273342609
8,24.5885599613
9,26.7760002613
10,28.4609691143
11,29.7080000401
12,33.0005239964
13,34.7290029049
14,35.8684317112
15,38.1293187618
16,39.5604591846
17,41.8425424099
18,44.0312720776
19,45.4275731564
20,46.4926948071
21,48.3456464291
22,51.0879421711
23,52.1257977962
24,53.8305300236
25,55.5894927502
26,56.8386580944
27,58.3860628605
28,61.1390976429
29,62.1328391552
30,63.7099428654
31,64.6373556614
32,66.7475202084
33,68.5906258106
34,70.1160558224
35,71.6058812618
36,73.3497272968
37,74.2937851429
38,75.5349091053
39,78.0721285343
40,79.7856112957
41,80.5669099331
42,81.9235380650
43,83.6994090557
44,84.9522827625
45,86.8098391056
46,88.2819897175
47,90.3773852825
48,90.7163467884
49,92.4500896931
50,93.3946500301
51,95.9698850155
52,97.3319053173
53,98.2278987408
54,99.8380740643
55,101.1876650333
56,102.6054708958
57,103.6663022518
58,105.9730562687
59,107.2973352909
60,108.4981539249
61,109.5496639729
62,110.6363597393
63,112.6158265591
64,114.2303696156
65,115.5788252354
66,116.6356138706
67,118.3715685368
68,119.5608379841
69,120.2811992168
70,122.0616068363
71,124.2426056385
72,125.2811402798
73,126.3994103909
74,127.3210064411
75,129.0485645771
76,130.1970694065
77,132.0862584591
78,133.0301217556
79,134.9251661777
80,135.8740706921
81,137.2014412403
82,138.0362500668
83,139.4103844166
84,141.9463106632
85,142.5242280483
86,143.9616812229
87,144.9478048801
88,146.3852019787
89,147.8792438030
90,148.6788370609
91,150.5622708797
92,152.1150771618
93,153.2868310452
94,154.4910174847
95,155.2425323963
96,156.4997541904
97,158.4002218723
98,159.8725571156
99,161.2468782902
100,161.7685560703
101,163.7581971645
102,164.6127460957
103,165.7845630169
104,166.8982161999
105,168.8539759159
106,170.4333065510
107,171.3432039738
108,172.1104250431
109,173.5598120213
110,174.6389852047
111,176.3562162876
112,177.7257699490
113,178.7924381733
114,180.2433475971
115,181.5682202816
116,182.3829708576
117,183.7985176563
118,184.3634736538
119,186.8960288525
120,187.9443508625
121,188.9592706203
122,190.1404782772
123,190.9707197666
124,192.8235993862
125,193.5371919155
126,195.0964839458
127,196.5411403179
128,197.8605336666
129,199.0912052631
130,200.2467988491
131,200.7553476810
132,202.1946034908
133,203.8441173077
134,205.7471826077
135,206.1609709263
136,207.4582486629
137,208.6252825260
138,210.3032044888
139,210.6781394482
140,212.2311164379
141,213.5209566593
142,215.4460255146
143,216.3399602413
144,217.1988821507
145,218.4472302914
146,219.2620743275
147,220.7874960423
148,222.4665389538
149,223.5249260426
150,224.5911120892
151,225.9524182796
152,227.0499988079
153,228.2711782932
154,229.1302775860
155,230.0657663822
156,232.3504502773
157,233.2784545422
158,234.5852346897
159,235.2780304432
160,236.3202043056
161,237.7497944355
162,239.0185695171
163,240.0796818256
164,241.8293405056
165,242.4709728718
166,244.2775106907
167,245.0918299198
168,245.9402108669
169,247.0492210865
170,248.1929600239
171,250.2571911335
172,251.2418653011
173,252.4410603046
174,252.8787782192
175,254.7003119946
176,255.4825794697
177,256.7946918964
178,257.8265504360
179,259.2258721828
180,260.9011029720
181,261.8359381199
182,262.7262090206
183,263.9396262646
184,264.5903159618
185,266.0180301189
186,267.8665091991
187,268.7682760715
188,269.9197859287
189,270.9773650646
190,272.1132336140
191,273.5101318836
192,274.2939990520
193,275.0851897717
194,276.8439339161
195,278.5266882420
196,279.3028698444
197,280.4954437733
198,281.2594709873
199,282.1693126202
200,283.9351889133
201,284.6147897244
202,286.5699279308
203,287.1227137089
204,288.4955132008
205,289.8955628872
206,290.7377987385
207,291.6847636700
208,292.6330077648
209,293.8538851261
210,295.7975266933
211,297.1034892559
212,297.3901187420
213,298.7516758442
214,299.7661129475
215,301.0005635738
216,302.1286664486
217,303.2602904797
218,304.4612946987
219,305.9996328831
220,307.0126160145
221,308.1923110485
222,308.8280398846
223,310.2342692852
224,310.5905967236
225,312.8302299023
226,313.8620251179
227,315.0373063564
228,315.9628344059
229,316.8057348728
230,318.4458664417
231,319.1823689938
232,320.2404519558
233,321.2137757778
234,323.0665961742
235,324.0670434475
236,325.5420356274
237,325.9700977802
238,326.9090883732
239,328.1689110279
240,329.2984550953
241,330.7112551212
242,332.1592490673
243,332.8309749126
244,333.9948393345
245,335.4520584583
246,336.2621256351
247,337.1619422436
248,338.2888384342
249,339.1784792423
250,341.2606701374
251,342.4252653599
252,342.8300798893
253,344.2368617535
254,344.9249286175
255,346.1753902912
256,347.4926243305
257,348.4521436214
258,349.8122330189
259,350.8625760555
260,352.3867997646
261,352.9693904400
262,354.4174109936
263,355.0818625927
264,355.7329659939
265,357.4105815411
266,359.0349944592
267,360.0009823322
268,360.9915379047
269,361.8036906719
270,362.8898037434
271,364.3465085506
272,365.1544434071
273,365.9548006535
274,367.6096686840
275,368.6219422817
276,370.4567368984
277,370.6499664783
278,372.0556979656
279,372.5662466526
280,373.8888430119
281,374.9575503826
282,376.6625747204
283,377.6965046406
284,378.5321799755
285,379.5206224918
286,381.0840540409
287,381.6114121914
288,382.9022340298
289,383.7479775906
290,384.6727918148
291,386.8028000355
292,387.5332943439
293,388.6275925159
294,389.4651289463
295,390.3810498714
296,391.4072720051
297,392.7038964748
298,394.0013910770
299,394.8905663013
300,396.4383803844
301,397.0421063900
302,398.4888574123
303,399.6069746494
304,400.1298960209
305,401.2394628048
306,402.1246876240
307,404.0735087872
308,405.0732841015
309,406.2347515583
310,406.8995207310
311,407.7316003323
312,409.1639852047
313,410.3005238056
314,410.9158590794
315,412.4598791599
316,413.4292080402
317,414.8117352009
318,416.0548614979
319,416.8106265545
320,417.5787479877
321,418.7778699398
322,419.4458421230
323,421.0204513073
324,422.6764594555
325,423.3752609730
326,424.1285356045
327,425.5511632442
328,426.2983233929
329,427.6261788845
330,428.5540533543
331,429.2528522015
332,430.5751785755
333,432.2727380276
334,433.2719400883
335,434.0580734730
336,435.0836138248
337,436.0744516850
338,436.5943449497
339,438.4669667721
340,439.1698164463
341,440.7993885517
342,441.5213953495
343,442.5805896282
344,443.7521041393
345,444.9678791523
346,445.6575491428
347,446.5063402653
348,447.5048218250
349,449.1063336849
350,450.5795080662
351,451.3535298824
352,452.3905252934
353,452.8529260159
354,454.2827767849
355,455.3239668369
356,456.2805194378
357,457.5438364506
358,458.6579432011
359,459.6956284046
360,461.0638968945
361,462.0381165028
362,462.7420588970
363,463.7309525013
364,464.7614053249
365,465.4958827496
366,467.7900680065
367,468.1918934345
368,469.3911556721
369,470.3770246983
370,471.0674650669
371,472.6001436710
372,473.2296604633
373,474.7429428577
374,474.9352158070
375,476.7853440762
376,478.0986029148
377,478.8937139988
378,480.0627233982
379,480.9174446583
380,481.4014142513
381,482.7346669674
382,483.9428770542
383,485.3013477802
384,486.3509699345
385,487.4951520443
386,487.9454441547
387,489.5256881237
388,490.4903319836
389,491.3000886440
390,492.0968158245
391,493.2338694096
392,494.6216093540
393,496.2321445942
394,496.9393645763
395,497.6019276142
396,498.7419628620
397,499.5201184750
398,500.7785936832
399,501.7992825985
400,503.0113581181
401,504.3067282200
402,504.8558989048
403,506.5464637280
404,507.2320393085
405,508.1414728642
406,509.4682464123
407,509.7282595158
408,510.8823350430
409,512.7390601635
410,513.8386103153
411,514.6645311832
412,515.4619142056
413,516.6478412151
414,517.2502080441
415,518.8603336811
416,519.5715187550
417,520.4079200268
418,521.8691499233
419,523.0329041958
420,524.0668252468
421,525.3139697552
422,525.8782305241
423,526.8126283169
424,527.6210782528
425,528.8338072300
426,530.2341455936
427,531.4878331661
428,532.5090442181
429,533.0722689152
430,534.1659613132
431,535.5205532551
