k,n,denom_zeta_minus_n
1,1,12
2,3,120
3,5,252
4,7,240
5,9,132
6,11,32760
7,13,12
8,15,8160
9,17,14364
10,19,6600
11,21,276
12,23,65520
13,25,12
14,27,3480
15,29,85932
16,31,16320
17,33,12
18,35,69090840
19,37,12
20,39,541200
21,41,75852
22,43,2760
23,45,564
24,47,2227680
25,49,132
26,51,6360
27,53,43092
28,55,6960
29,57,708
30,59,3407203800
31,61,12
32,63,32640
33,65,388332
34,67,120
35,69,9372
36,71,10087262640
37,73,12
38,75,120
39,77,19908
40,79,18400800
41,81,996
42,83,285962040
43,85,12
44,87,491280
45,89,4898124
46,91,5640
47,93,12
48,95,432169920
49,97,12
50,99,3333000
