n,t_n
1,6.2020457960
2,7.9270507196
3,11.0103252702
4,13.8301660621
5,16.0137934863
6,18.0458785973
7,19.1119254669
8,22.7583104963
9,23.9553247953
10,25.7229963903
11,27.4552107361
12,29.3382655464
13,31.2840787515
14,33.6731430359
15,34.7743529867
16,35.9722890327
17,37.7861003948
18,41.9113558493
19,42.7109002140
20,44.9776387581
21,46.0861578300
22,47.3470031844
23,50.0184251839
24,51.2673501376
25,52.8192078084
26,53.6500281674
27,55.2475882515
28,57.4813235456
29,58.6996152834
30,60.2978341243
31,61.9654238393
32,62.9629178281
33,64.3566955747
34,65.6010819022
35,68.1809958965
36,69.4197703225
37,70.1641121663
38,71.6050065910
39,73.4037570374
40,74.3238754268
41,76.3889897340
42,77.6182057857
43,79.2849011326
44,80.5376229828
45,81.5452729973
46,82.3927758432
47,86.3497315561
48,87.2819496108
49,88.7341067656
50,89.7665783796
51,91.5253268309
52,92.3729085524
53,93.8976828343
54,97.2589069620
55,97.8247902229
56,99.3814479594
57,100.3265707613
58,104.0246713556
59,104.7625725773
60,105.9392571194
61,107.7445547930
62,108.7146041426
63,109.5502637642
64,113.0538035489
65,114.1956313297
66,115.6840399425
67,116.1566636222
68,117.4196896312
69,120.3910800236
70,123.2346533096
71,124.3371040851
72,125.6711653568
73,126.5950025470
74,127.8254150888
75,128.6517382525
76,131.3685863613
77,131.8871192378
78,133.1880160910
79,134.0329539193
80,135.7548125485
81,136.5672673032
82,139.3875199287
83,142.3032843429
84,143.2263762211
85,144.2670316902
86,144.9045025028
87,146.5574330738
88,148.1477188849
89,149.5392003705
90,150.6767966030
91,151.5325238310
92,152.8704860623
93,154.2271692119
94,155.3910471710
95,155.8062655777
96,159.8408221605
97,159.9942686491
98,161.4411201228
99,162.5694706248
100,163.3435487312
101,164.9439443006
102,166.4592108056
103,167.7398848243
104,168.3785159423
105,170.3307055888
106,171.0296113901
107,172.1250858336
108,173.0719664595
109,176.0448998512
110,177.5876775193
111,178.3518079137
112,179.2523661372
113,180.1928752654
114,181.8959972511
115,182.7807762906
116,185.4964304436
117,186.7084184136
118,187.7612318512
119,189.1238591792
120,189.8260300361
121,190.8598208881
122,191.7542762771
123,194.8795251209
124,195.8818076544
125,197.0561827592
126,198.0818456179
127,199.4868361035
128,200.1377332469
129,201.7030649843
130,202.4566417819
131,205.4962885265
132,206.6445611195
133,207.0301188032
134,208.3316729444
135,209.5910157284
136,212.4100555706
137,213.4604391535
138,214.2679794885
139,215.4572917405
140,217.0153092311
141,217.6970843597
142,218.5004043157
143,219.6385710789
144,222.6433797080
145,223.7111455940
